Scenario Number,Scenario Name,Planning Area,Sector,End Use,Units,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1,High-Low,BUGL,AGWP,MachDr,MM Therms,0,0,0,0,0,7.55E-05,0.000152045,0.000229272,0.000307057,0.000968651,0.001539098,0.00201888
1,High-Low,BUGL,AGWP,WholeBlg,MM Therms,0,0.002768123,0.005466997,0.008099498,0.010668976,0.013116645,0.0154785,0.01778428,0.020038175,0.02224251,0.024397259,0.026501438
1,High-Low,BUGL,Commercial,Cooking,GWh,0,0.002489433,0.004856821,0.007084732,0.009141615,0.011010204,0.012561943,0.013598701,0.014117471,0.014528827,0.014848297,0.015267417
1,High-Low,BUGL,Commercial,Cooking,MM Therms,0,0.005126464,0.01071921,0.016397044,0.022128274,0.027928665,0.033790166,0.039693392,0.045636502,0.051622977,0.057650745,0.063719214
1,High-Low,BUGL,Commercial,HVAC - Cooling,GWh,0,4.009835508,7.861686407,11.3345645,14.59528494,17.80432827,20.95782764,23.56613735,25.61670897,27.55829021,29.3721564,31.3043753
1,High-Low,BUGL,Commercial,HVAC - General,GWh,0,0.330675859,0.628316987,0.896229552,1.137385851,1.354462852,1.549539992,1.725148161,1.88290508,2.02393667,2.148925279,2.257492232
1,High-Low,BUGL,Commercial,HVAC - General,MM Therms,0,0.000745266,0.00149893,0.002237949,0.002949183,0.00363386,0.004297749,0.004932994,0.005397893,0.005869548,0.006376131,0.006946831
1,High-Low,BUGL,Commercial,HVAC - Heating,GWh,0,-0.004766148,-0.014218649,-0.028660687,-0.048368051,-0.073311165,-0.103361863,-0.138660984,-0.179458366,-0.225926018,-0.278241913,-0.335789398
1,High-Low,BUGL,Commercial,HVAC - Heating,MM Therms,0,0.000139305,0.000415523,0.000837714,0.001413889,0.002143924,0.003023901,0.004058391,0.005254963,0.006618553,0.008154557,0.009845187
1,High-Low,BUGL,Commercial,Lighting - General,GWh,0,6.684148171,13.49154919,20.27814092,26.72378315,31.98240594,36.68318976,40.88526617,44.47333139,46.69839958,47.71000284,49.90803873
1,High-Low,BUGL,Commercial,Lighting - General,MM Therms,0,0.000612355,0.001163352,0.001658838,0.002104823,0.002506029,0.002865463,0.00318554,0.003466494,0.003704792,0.003889991,0.004003521
1,High-Low,BUGL,Commercial,Lighting - Indoor Equipment,GWh,0,0.003252499,0.006528159,0.009846063,0.013187992,0.016555373,0.019955312,0.023367261,0.026776228,0.030154068,0.03342874,0.036470522
1,High-Low,BUGL,Commercial,Lighting - Indoor Equipment,MM Therms,0,1.93E-06,3.87E-06,5.80E-06,7.73E-06,9.67E-06,1.16E-05,1.35E-05,1.54E-05,1.73E-05,1.90E-05,2.06E-05
1,High-Low,BUGL,Commercial,Lighting - Outdoor,GWh,0,0.003252499,0.006528159,0.009846063,0.013187992,0.016555373,0.019955312,0.023367261,0.026776228,0.030154068,0.03342874,0.036470522
1,High-Low,BUGL,Commercial,Lighting - Outdoor,MM Therms,0,1.93E-06,3.87E-06,5.80E-06,7.73E-06,9.67E-06,1.16E-05,1.35E-05,1.54E-05,1.73E-05,1.90E-05,2.06E-05
1,High-Low,BUGL,Commercial,MachDr,GWh,0,0.028157065,0.057700111,0.088247605,0.113083341,0.138159828,0.163527994,0.189150434,0.215060665,0.241271029,0.267792047,0.294007672
1,High-Low,BUGL,Commercial,Miscellaneous,GWh,0,0.020500311,0.038963625,0.05559636,0.070539964,0.083903119,0.095722883,0.105907438,0.114128989,0.119784866,0.122064534,0.120481973
1,High-Low,BUGL,Commercial,Miscellaneous,MM Therms,0,3.58E-05,6.94E-05,0.000101259,0.000131363,0.000159873,0.000186738,0.000211717,0.000234133,0.000252798,0.000266126,0.000273035
1,High-Low,BUGL,Commercial,Office Equipment,GWh,0,0.028247866,0.052343297,0.072673286,0.088512712,0.098841742,0.103081501,0.101840916,0.096797936,0.08980169,0.082149171,0.074583955
1,High-Low,BUGL,Commercial,Office Equipment,MM Therms,0,0.00056892,0.001141248,0.001726618,0.002287721,0.002838322,0.003386088,0.003507726,0.003620997,0.003721106,0.003844467,0.003978316
1,High-Low,BUGL,Commercial,Refrigeration,GWh,0,1.038815747,2.122982397,3.247294284,4.402828378,5.581455154,6.783809361,7.995720881,9.206232255,10.29231346,11.46151981,12.65137867
1,High-Low,BUGL,Commercial,Water Heating,GWh,0,0.005646217,0.005565457,-0.000451761,-0.012576135,-0.030704292,-0.054652048,-0.084520274,-0.120554053,-0.162983581,-0.21216416,-0.267794942
1,High-Low,BUGL,Commercial,Water Heating,MM Therms,0,0.003780109,0.007770526,0.01195458,0.016329785,0.020943604,0.025767269,0.030803647,0.036064686,0.041557864,0.047284261,0.053228884
1,High-Low,BUGL,Commercial,WholeBlg,GWh,0,0.596772129,1.203016534,1.805015459,2.400455585,2.854382418,3.258287365,3.428589462,3.624540593,3.781370309,3.899672941,4.0464212
1,High-Low,BUGL,Commercial,WholeBlg,MM Therms,0,0.0046483,0.009707583,0.01397461,0.017162753,0.020358683,0.023383181,0.026512298,0.029724826,0.033036394,0.036406328,0.039792769
1,High-Low,BUGL,Industrial,HVAC,GWh,0,0.017330347,0.035149554,0.053497086,0.071990575,0.090329796,0.108290078,0.125713532,0.142214958,0.157514016,0.171440655,0.186654688
1,High-Low,BUGL,Industrial,HVAC,MM Therms,0,0,0,0,0,0.000642981,0.001181879,0.001564202,0.001846772,0.001371502,0.000936206,0.000628744
1,High-Low,BUGL,Industrial,Lighting,GWh,0,0.392229341,0.810303053,1.252506841,1.71071611,2.174284348,2.558835928,2.835289505,3.009030957,3.113749715,3.186457925,3.309682755
1,High-Low,BUGL,Industrial,MachDr,GWh,0,0.480491843,1.08930932,1.840498361,2.590419011,3.11974304,3.424918619,3.585393088,3.671473892,3.751394736,3.824332589,3.903841918
1,High-Low,BUGL,Industrial,ProcHeat,MM Therms,0,0,0,0,0.001808532,0.003401591,0.004845284,0.012753029,0.017266785,0.019770477,0.020996396,0.021688486
1,High-Low,BUGL,Industrial,WholeBlg,MM Therms,0,0.013217371,0.026513914,0.039942864,0.053580649,0.064335367,0.073960431,0.083972454,0.094656586,0.106480423,0.120166047,0.136558374
1,High-Low,BUGL,Mining,OilGasExtract,MM Therms,0,0.000477509,0.000890248,0.001278615,0.001644471,0.002001513,0.002348437,0.002674345,0.002986738,0.003301308,0.003607963,0.003907114
1,High-Low,BUGL,Residential,Behavior,GWh,0,12.3178003,12.40804448,12.52438568,12.6092798,12.68191114,12.76786753,12.83517954,12.90305914,12.97151181,13.0405431,13.10899854
1,High-Low,BUGL,Residential,HVAC - Cooling,GWh,0,0.433328098,0.770282938,1.137083364,1.531034035,1.931615141,2.32711914,2.719345119,3.107616795,3.491759974,3.872707668,4.257317353
1,High-Low,BUGL,Residential,HVAC - General,GWh,0,0.007989888,0.016247213,0.024832691,0.033695351,0.042851038,0.052333273,0.062124835,0.072235461,0.082686985,0.093481158,0.104570864
1,High-Low,BUGL,Residential,HVAC - General,MM Therms,0,0.008686391,0.018060405,0.027274534,0.036336629,0.045458436,0.054767961,0.064083954,0.072383092,0.080925574,0.089843737,0.098629247
1,High-Low,BUGL,Residential,HVAC - Heating,GWh,0,-0.015562859,-0.047522224,-0.095177946,-0.156896341,-0.230760573,-0.315848806,-0.416155488,-0.532018987,-0.663746652,-0.81165063,-0.974345006
1,High-Low,BUGL,Residential,HVAC - Heating,MM Therms,0,0.00211991,0.006472325,0.012964993,0.021374453,0.031449673,0.04306185,0.056761832,0.072599115,0.09061424,0.110852168,0.1331274
1,High-Low,BUGL,Residential,Lighting - General,GWh,0,0.553474273,1.164505413,1.8503315,2.594478787,3.271801974,3.956175602,4.600142226,5.204438115,5.700803795,6.207262155,6.760250554
1,High-Low,BUGL,Residential,Miscellaneous,GWh,0,0.173167305,0.353417745,0.533400458,0.713106199,0.815726369,0.931909122,1.032752552,1.118933879,1.186085293,1.235814771,1.302041602
1,High-Low,BUGL,Residential,Miscellaneous,MM Therms,0,0.001812896,0.003671003,0.005575446,0.007522002,0.009507046,0.011518368,0.013534284,0.015510206,0.017372624,0.019023163,0.020382907
1,High-Low,BUGL,Residential,Plug Load - Appliances,GWh,0,0.048565799,0.102058944,0.156524896,0.211172291,0.266046559,0.321187426,0.36010145,0.373786371,0.402368918,0.427507035,0.446918554
1,High-Low,BUGL,Residential,Plug Load - Appliances,MM Therms,0,0.010393579,0.021888371,0.034311483,0.048493225,0.063549815,0.079203416,0.095263172,0.11164143,0.128335129,0.1453073,0.162532116
1,High-Low,BUGL,Residential,Plug Load - Consumer Electronics,GWh,0,0.006148725,0.012309165,0.018433525,0.024514889,0.030527591,0.034711342,0.03815047,0.040990745,0.043453877,0.04573123,0.048290044
1,High-Low,BUGL,Residential,Refrig/Freezer,GWh,0,0.255506904,0.457738691,0.642715278,0.814420425,0.974751508,1.131724686,1.287953713,1.442961125,1.594725531,1.740455578,1.890824308
1,High-Low,BUGL,Residential,Water Heating,GWh,0,-0.015413617,-0.047218894,-0.094714403,-0.156267564,-0.229961546,-0.314874202,-0.415001374,-0.530682955,-0.662229293,-0.809958119,-0.972491703
1,High-Low,BUGL,Residential,Water Heating,MM Therms,0,0.035319674,0.073293681,0.106971979,0.142944945,0.175502558,0.209810169,0.244885781,0.280537645,0.317106572,0.354727538,0.393193606
1,High-Low,BUGL,Residential,WholeBlg,GWh,0,1.10140445,2.06898567,3.113714631,4.188453408,5.273409055,6.371890799,7.344726877,8.302491761,9.240491763,10.13845935,11.01727553
1,High-Low,BUGL,Residential,WholeBlg,MM Therms,0,0.138885707,0.160150192,0.18113598,0.202298425,0.224084901,0.246020579,0.268246644,0.290685176,0.313330741,0.335331438,0.356057602
1,High-Low,BUGL,Streetlighting,Street Lighting,GWh,0,0.337301095,0.855575374,1.685282636,2.881568594,4.061269425,4.888982112,5.351603901,5.571278556,5.679580189,5.760233568,5.910397585
1,High-Low,IID,AGWP,MachDr,GWh,0,0.802167482,1.656193756,2.552053787,3.462908475,4.376931973,5.290309515,6.199649725,7.101483266,7.994576156,8.878326842,9.771118956
1,High-Low,IID,Commercial,Cooking,GWh,0,0.030511959,0.06693882,0.110415215,0.159567479,0.20913622,0.2582411,0.197720343,0.242644863,0.204411614,0.243573047,0.285616024
1,High-Low,IID,Commercial,HVAC - Cooling,GWh,0,4.197441516,8.132381239,10.95467128,12.54979797,13.28563961,14.0131521,13.3880911,12.41209559,11.06853838,9.738306221,8.585192387
1,High-Low,IID,Commercial,HVAC - General,GWh,0,0.525233246,0.997992684,1.423527029,1.806559293,2.151341245,2.461174645,2.740080609,2.990628282,3.214604601,3.413091532,3.585487078
1,High-Low,IID,Commercial,HVAC - Heating,GWh,0,-0.007570411,-0.02258449,-0.045523805,-0.07682641,-0.11644533,-0.164176988,-0.220245088,-0.285046467,-0.358854339,-0.441951391,-0.533358148
1,High-Low,IID,Commercial,Lighting - General,GWh,0,7.845595756,15.3604934,22.18748832,27.96856732,31.82327196,35.70279828,38.31905539,39.59031108,39.5811232,38.88208109,39.00647917
1,High-Low,IID,Commercial,Lighting - Indoor Equipment,GWh,0,0.005130431,0.010267668,0.015409584,0.020553557,0.025700631,0.030850374,0.035985412,0.04107946,0.046074468,0.05083997,0.055170292
1,High-Low,IID,Commercial,Lighting - Outdoor,GWh,0,0.005130431,0.010267668,0.015409584,0.020553557,0.025700631,0.030850374,0.035985412,0.04107946,0.046074468,0.05083997,0.055170292
1,High-Low,IID,Commercial,MachDr,GWh,0,0.43815656,0.958211505,1.550947442,2.174311102,2.81189835,3.454402506,4.095321823,4.729561724,5.354444076,5.968566727,6.592748003
1,High-Low,IID,Commercial,Miscellaneous,GWh,0,0.032559338,0.061880724,0.088289266,0.112011589,0.133220077,0.151972451,0.168124089,0.181154072,0.190103925,0.193684759,0.191124641
1,High-Low,IID,Commercial,Office Equipment,GWh,0,0.044868092,0.083140575,0.115432141,0.140591027,0.156997359,0.163731669,0.16176116,0.153751037,0.142638402,0.130483362,0.118466992
1,High-Low,IID,Commercial,Refrigeration,GWh,0,1.094248092,2.399832644,3.925626432,5.571645605,7.197470998,8.807849873,10.3909519,11.95480295,13.47771244,14.98117601,16.51483332
1,High-Low,IID,Commercial,Water Heating,GWh,0,0.008968237,0.008839865,-0.000717901,-0.019976155,-0.04877071,-0.086809032,-0.134251321,-0.191486869,-0.258881336,-0.336999104,-0.425362325
1,High-Low,IID,Commercial,WholeBlg,GWh,0,0.603859067,1.220555668,1.844964199,2.478048054,3.124383015,3.766037666,4.404448379,5.041383367,5.678118933,6.30982546,6.926252012
1,High-Low,IID,Industrial,Lighting,GWh,0,1.220312776,2.452427028,3.68657765,4.902066932,6.080186272,7.045990911,7.751745608,8.244828868,8.595846614,8.855270047,9.231523393
