Sector,PA,FCZ,BType_Des,End.Use,Scen,AAEE.Case,2021
Commercial,LADWP,FCZ16,College,Cooking,Mid,Base,1.086074649
Commercial,LADWP,FCZ16,College,Cooling,Mid,Base,52.74868517
Commercial,LADWP,FCZ16,College,Heating,Mid,Base,11.89740637
Commercial,LADWP,FCZ16,College,IndoorLighting,Mid,Base,45.20956793
Commercial,LADWP,FCZ16,College,Miscellaneous,Mid,Base,63.51499088
Commercial,LADWP,FCZ16,College,OfficeEquipment,Mid,Base,6.892821964
Commercial,LADWP,FCZ16,College,OutdoorLighting,Mid,Base,3.950293785
Commercial,LADWP,FCZ16,College,Refrigeration,Mid,Base,6.073595052
Commercial,LADWP,FCZ16,College,Residual,Mid,Base,226.7776487
Commercial,LADWP,FCZ16,College,Ventilation,Mid,Base,30.524435
Commercial,LADWP,FCZ16,College,WaterHeating,Mid,Base,4.879777897
Commercial,LADWP,FCZ16,Food,Cooking,Mid,Base,0.331094709
Commercial,LADWP,FCZ16,Food,Cooling,Mid,Base,3.696843712
Commercial,LADWP,FCZ16,Food,Heating,Mid,Base,1.846507264
Commercial,LADWP,FCZ16,Food,IndoorLighting,Mid,Base,60.60591154
Commercial,LADWP,FCZ16,Food,Miscellaneous,Mid,Base,17.21875095
Commercial,LADWP,FCZ16,Food,OfficeEquipment,Mid,Base,1.435546503
Commercial,LADWP,FCZ16,Food,OutdoorLighting,Mid,Base,16.21982517
Commercial,LADWP,FCZ16,Food,Refrigeration,Mid,Base,143.2396226
Commercial,LADWP,FCZ16,Food,Residual,Mid,Base,258.9634024
Commercial,LADWP,FCZ16,Food,Ventilation,Mid,Base,14.11924841
Commercial,LADWP,FCZ16,Food,WaterHeating,Mid,Base,0.250051516
Commercial,LADWP,FCZ16,Health Care,Cooking,Mid,Base,1.337028883
Commercial,LADWP,FCZ16,Health Care,Cooling,Mid,Base,124.1637691
Commercial,LADWP,FCZ16,Health Care,Heating,Mid,Base,8.790605088
Commercial,LADWP,FCZ16,Health Care,IndoorLighting,Mid,Base,115.1926001
Commercial,LADWP,FCZ16,Health Care,Miscellaneous,Mid,Base,267.0377274
Commercial,LADWP,FCZ16,Health Care,OfficeEquipment,Mid,Base,42.6421754
Commercial,LADWP,FCZ16,Health Care,OutdoorLighting,Mid,Base,4.596526553
Commercial,LADWP,FCZ16,Health Care,Refrigeration,Mid,Base,4.317033575
Commercial,LADWP,FCZ16,Health Care,Residual,Mid,Base,605.4075692
Commercial,LADWP,FCZ16,Health Care,Ventilation,Mid,Base,32.98368409
Commercial,LADWP,FCZ16,Health Care,WaterHeating,Mid,Base,4.346419
Commercial,LADWP,FCZ16,Hotel,Cooking,Mid,Base,0.725753502
Commercial,LADWP,FCZ16,Hotel,Cooling,Mid,Base,28.50833564
Commercial,LADWP,FCZ16,Hotel,Heating,Mid,Base,37.45751912
Commercial,LADWP,FCZ16,Hotel,IndoorLighting,Mid,Base,28.16663103
Commercial,LADWP,FCZ16,Hotel,Miscellaneous,Mid,Base,27.65328798
Commercial,LADWP,FCZ16,Hotel,OfficeEquipment,Mid,Base,0.295925624
Commercial,LADWP,FCZ16,Hotel,OutdoorLighting,Mid,Base,7.030695733
Commercial,LADWP,FCZ16,Hotel,Refrigeration,Mid,Base,12.14749032
Commercial,LADWP,FCZ16,Hotel,Residual,Mid,Base,153.6551694
Commercial,LADWP,FCZ16,Hotel,Ventilation,Mid,Base,9.666164407
Commercial,LADWP,FCZ16,Hotel,WaterHeating,Mid,Base,2.003366032
Commercial,LADWP,FCZ16,Miscellaneous,Cooking,Mid,Base,0.514874634
Commercial,LADWP,FCZ16,Miscellaneous,Cooling,Mid,Base,83.96890428
Commercial,LADWP,FCZ16,Miscellaneous,Heating,Mid,Base,16.29416383
Commercial,LADWP,FCZ16,Miscellaneous,IndoorLighting,Mid,Base,106.8462997
Commercial,LADWP,FCZ16,Miscellaneous,Miscellaneous,Mid,Base,96.91400725
Commercial,LADWP,FCZ16,Miscellaneous,OfficeEquipment,Mid,Base,24.17231986
Commercial,LADWP,FCZ16,Miscellaneous,OutdoorLighting,Mid,Base,40.28929383
Commercial,LADWP,FCZ16,Miscellaneous,Refrigeration,Mid,Base,1.705615599
Commercial,LADWP,FCZ16,Miscellaneous,Residual,Mid,Base,414.4368105
Commercial,LADWP,FCZ16,Miscellaneous,Ventilation,Mid,Base,40.23780743
Commercial,LADWP,FCZ16,Miscellaneous,WaterHeating,Mid,Base,3.493524105
Commercial,LADWP,FCZ16,Office,Cooking,Mid,Base,0.840736405
Commercial,LADWP,FCZ16,Office,Cooling,Mid,Base,241.5698417
Commercial,LADWP,FCZ16,Office,Heating,Mid,Base,29.75621818
Commercial,LADWP,FCZ16,Office,IndoorLighting,Mid,Base,420.255455
Commercial,LADWP,FCZ16,Office,Miscellaneous,Mid,Base,239.218452
Commercial,LADWP,FCZ16,Office,OfficeEquipment,Mid,Base,93.89969115
Commercial,LADWP,FCZ16,Office,OutdoorLighting,Mid,Base,106.3862219
Commercial,LADWP,FCZ16,Office,Refrigeration,Mid,Base,1.192051868
Commercial,LADWP,FCZ16,Office,Residual,Mid,Base,1281.898556
Commercial,LADWP,FCZ16,Office,Ventilation,Mid,Base,144.8105835
Commercial,LADWP,FCZ16,Office,WaterHeating,Mid,Base,3.969304423
Commercial,LADWP,FCZ16,Refrigerated Warehouse,Cooking,Mid,Base,0.000418226
Commercial,LADWP,FCZ16,Refrigerated Warehouse,Cooling,Mid,Base,0.101506297
Commercial,LADWP,FCZ16,Refrigerated Warehouse,Heating,Mid,Base,0.000128552
Commercial,LADWP,FCZ16,Refrigerated Warehouse,IndoorLighting,Mid,Base,2.17188397
Commercial,LADWP,FCZ16,Refrigerated Warehouse,Miscellaneous,Mid,Base,3.009732615
Commercial,LADWP,FCZ16,Refrigerated Warehouse,OfficeEquipment,Mid,Base,0.016393855
Commercial,LADWP,FCZ16,Refrigerated Warehouse,OutdoorLighting,Mid,Base,0.209208044
Commercial,LADWP,FCZ16,Refrigerated Warehouse,Refrigeration,Mid,Base,20.33182995
Commercial,LADWP,FCZ16,Refrigerated Warehouse,Residual,Mid,Base,25.92775367
Commercial,LADWP,FCZ16,Refrigerated Warehouse,Ventilation,Mid,Base,0.07563449
Commercial,LADWP,FCZ16,Refrigerated Warehouse,WaterHeating,Mid,Base,0.011017667
Commercial,LADWP,FCZ16,Restaurant,Cooking,Mid,Base,11.18170833
Commercial,LADWP,FCZ16,Restaurant,Cooling,Mid,Base,26.75154591
Commercial,LADWP,FCZ16,Restaurant,Heating,Mid,Base,2.281473833
Commercial,LADWP,FCZ16,Restaurant,IndoorLighting,Mid,Base,38.74066147
Commercial,LADWP,FCZ16,Restaurant,Miscellaneous,Mid,Base,76.50857821
Commercial,LADWP,FCZ16,Restaurant,OfficeEquipment,Mid,Base,0.208972374
Commercial,LADWP,FCZ16,Restaurant,OutdoorLighting,Mid,Base,28.68789288
Commercial,LADWP,FCZ16,Restaurant,Refrigeration,Mid,Base,53.55182668
Commercial,LADWP,FCZ16,Restaurant,Residual,Mid,Base,274.4223848
Commercial,LADWP,FCZ16,Restaurant,Ventilation,Mid,Base,36.2122911
Commercial,LADWP,FCZ16,Restaurant,WaterHeating,Mid,Base,0.297434042
Commercial,LADWP,FCZ16,Retail,Cooking,Mid,Base,1.104765281
Commercial,LADWP,FCZ16,Retail,Cooling,Mid,Base,49.50639538
Commercial,LADWP,FCZ16,Retail,Heating,Mid,Base,1.168658345
Commercial,LADWP,FCZ16,Retail,IndoorLighting,Mid,Base,136.7555432
