,DatesAll,FCZ7.Residential.MULTIFAMILY.Cooking,FCZ7.Residential.MULTIFAMILY.Cooling,FCZ7.Residential.MULTIFAMILY.Dishwasher,FCZ7.Residential.MULTIFAMILY.Dryer,FCZ7.Residential.MULTIFAMILY.Freezer,FCZ7.Residential.MULTIFAMILY.Heating,FCZ7.Residential.MULTIFAMILY.Lighting,FCZ7.Residential.MULTIFAMILY.Miscellaneous,FCZ7.Residential.MULTIFAMILY.Pool Heater,FCZ7.Residential.MULTIFAMILY.Pool Pump,FCZ7.Residential.MULTIFAMILY.Refrigerator,FCZ7.Residential.MULTIFAMILY.Residual,FCZ7.Residential.MULTIFAMILY.Solar Water Heat - Back-up,FCZ7.Residential.MULTIFAMILY.Solar Water Heat - Pump,FCZ7.Residential.MULTIFAMILY.Television,FCZ7.Residential.MULTIFAMILY.Washer,FCZ7.Residential.MULTIFAMILY.Water Heater - All Other,FCZ7.Residential.MULTIFAMILY.Water Heating - Dishwasher,FCZ7.Residential.MULTIFAMILY.Water Heating - Washer,FCZ7.Residential.SINGLEFAMILY.Cooking,FCZ7.Residential.SINGLEFAMILY.Cooling,FCZ7.Residential.SINGLEFAMILY.Dishwasher,FCZ7.Residential.SINGLEFAMILY.Dryer,FCZ7.Residential.SINGLEFAMILY.Freezer,FCZ7.Residential.SINGLEFAMILY.Heating,FCZ7.Residential.SINGLEFAMILY.Lighting,FCZ7.Residential.SINGLEFAMILY.Miscellaneous,FCZ7.Residential.SINGLEFAMILY.Pool Heater,FCZ7.Residential.SINGLEFAMILY.Pool Pump,FCZ7.Residential.SINGLEFAMILY.Refrigerator,FCZ7.Residential.SINGLEFAMILY.Residual,FCZ7.Residential.SINGLEFAMILY.Solar Pool Pump,FCZ7.Residential.SINGLEFAMILY.Solar Water Heat - Back-up,FCZ7.Residential.SINGLEFAMILY.Solar Water Heat - Pump,FCZ7.Residential.SINGLEFAMILY.Spa Heater,FCZ7.Residential.SINGLEFAMILY.Spa Pump,FCZ7.Residential.SINGLEFAMILY.Television,FCZ7.Residential.SINGLEFAMILY.Washer,FCZ7.Residential.SINGLEFAMILY.Water Heater - All Other,FCZ7.Residential.SINGLEFAMILY.Water Heating - Dishwasher,FCZ7.Residential.SINGLEFAMILY.Water Heating - Washer
1,1/1/21 0:00,4.09E-05,0,3.80E-05,4.23E-05,8.31E-05,0.000767564,8.39E-05,9.92E-05,5.95E-06,5.55E-05,8.48E-05,2.10E-05,7.54E-05,0.000114155,0.00011328,1.16E-05,0.000112908,3.80E-05,1.16E-05,4.09E-05,0,3.80E-05,4.23E-05,8.31E-05,0.000670348,8.39E-05,9.92E-05,5.95E-06,5.55E-05,8.48E-05,2.21E-05,8.48E-05,7.54E-05,0.000114155,5.91E-05,8.48E-05,0.00011328,1.16E-05,0.00011346,3.80E-05,1.16E-05
2,1/1/21 1:00,3.47E-05,0,2.28E-05,1.91E-05,8.19E-05,0.000748038,6.47E-05,9.37E-05,5.12E-06,5.98E-05,8.25E-05,2.45E-05,4.93E-05,0.000114155,6.83E-05,6.77E-06,7.47E-05,2.28E-05,6.77E-06,3.47E-05,0,2.28E-05,1.91E-05,8.19E-05,0.000648535,6.47E-05,9.37E-05,5.12E-06,5.98E-05,8.25E-05,2.08E-05,8.69E-05,4.93E-05,0.000114155,6.02E-05,8.69E-05,6.83E-05,6.77E-06,7.52E-05,2.28E-05,6.77E-06
3,1/1/21 2:00,3.56E-05,0,1.57E-05,8.71E-06,8.07E-05,0.000716735,5.63E-05,9.10E-05,5.88E-06,5.57E-05,8.14E-05,2.58E-05,4.21E-05,0.000114155,3.35E-05,4.97E-06,6.49E-05,1.57E-05,4.97E-06,3.56E-05,0,1.57E-05,8.71E-06,8.07E-05,0.000608541,5.63E-05,9.10E-05,5.88E-06,5.57E-05,8.14E-05,2.10E-05,8.49E-05,4.21E-05,0.000114155,6.86E-05,8.49E-05,3.35E-05,4.97E-06,6.55E-05,1.57E-05,4.97E-06
4,1/1/21 3:00,4.00E-05,0,1.14E-05,4.24E-06,7.98E-05,0.000709245,5.25E-05,9.03E-05,8.53E-06,5.34E-05,8.05E-05,2.56E-05,4.05E-05,0.000114155,1.36E-05,4.86E-06,6.33E-05,1.14E-05,4.86E-06,4.00E-05,0,1.14E-05,4.24E-06,7.98E-05,0.000599509,5.25E-05,9.03E-05,8.53E-06,5.34E-05,8.05E-05,2.06E-05,8.37E-05,4.05E-05,0.000114155,7.33E-05,8.37E-05,1.36E-05,4.86E-06,6.41E-05,1.14E-05,4.86E-06
5,1/1/21 4:00,3.65E-05,0,1.24E-05,5.24E-06,7.85E-05,0.000718457,5.58E-05,9.15E-05,1.96E-05,5.61E-05,7.97E-05,2.32E-05,6.23E-05,0.000114155,3.08E-06,7.42E-06,9.87E-05,1.24E-05,7.42E-06,3.65E-05,0,1.24E-05,5.24E-06,7.85E-05,0.000608385,5.58E-05,9.15E-05,1.96E-05,5.61E-05,7.97E-05,1.93E-05,8.51E-05,6.23E-05,0.000114155,9.53E-05,8.51E-05,3.08E-06,7.42E-06,0.000100151,1.24E-05,7.42E-06
6,1/1/21 5:00,4.84E-05,0,1.98E-05,1.85E-05,7.77E-05,0.000748008,7.05E-05,9.41E-05,4.21E-05,6.62E-05,8.08E-05,1.75E-05,0.00010799,0.000114155,5.65E-06,1.45E-05,0.000170661,1.98E-05,1.45E-05,4.84E-05,0,1.98E-05,1.85E-05,7.77E-05,0.000637326,7.05E-05,9.41E-05,4.21E-05,6.62E-05,8.08E-05,1.60E-05,9.01E-05,0.00010799,0.000114155,0.000117121,9.01E-05,5.65E-06,1.45E-05,0.000173397,1.98E-05,1.45E-05
7,1/1/21 6:00,8.41E-05,0,3.44E-05,4.23E-05,7.78E-05,0.00080033,9.57E-05,9.74E-05,6.99E-05,7.96E-05,8.30E-05,9.51E-06,0.000180125,0.000114155,1.27E-05,3.38E-05,0.000279892,3.44E-05,3.38E-05,8.41E-05,0,3.44E-05,4.23E-05,7.78E-05,0.000684817,9.57E-05,9.74E-05,6.99E-05,7.96E-05,8.30E-05,1.18E-05,9.68E-05,0.000180125,0.000114155,0.000110727,9.68E-05,1.27E-05,3.38E-05,0.000284613,3.44E-05,3.38E-05
8,1/1/21 7:00,0.000114421,0,6.68E-05,6.99E-05,7.89E-05,0.000838828,0.000115144,0.00010022,0.000117328,9.34E-05,8.64E-05,7.05E-06,0.000215852,0.000114155,2.39E-05,7.81E-05,0.000311833,6.68E-05,7.81E-05,0.000114421,0,6.68E-05,6.99E-05,7.89E-05,0.000701192,0.000115144,0.00010022,0.000117328,9.34E-05,8.64E-05,1.04E-05,0.000103741,0.000215852,0.000114155,8.58E-05,0.000103741,2.39E-05,7.81E-05,0.000316957,6.68E-05,7.81E-05
9,1/1/21 8:00,0.000130738,0,0.000111986,0.00010048,8.10E-05,0.000837589,0.00012277,0.00010213,0.000168787,0.000104659,8.80E-05,7.27E-06,0.00021869,0.000114155,3.58E-05,0.000131595,0.000281097,0.000111986,0.000131595,0.000130738,0,0.000111986,0.00010048,8.10E-05,0.000701113,0.00012277,0.00010213,0.000168787,0.000104659,8.80E-05,1.08E-05,0.000109399,0.00021869,0.000114155,5.34E-05,0.000109399,3.58E-05,0.000131595,0.000285041,0.000111986,0.000131595
10,1/1/21 9:00,0.000117363,0,0.000149517,0.000132751,8.47E-05,0.000789139,0.000118793,0.000103158,0.000236176,0.000125383,9.04E-05,1.19E-05,0.000181089,0.000114155,5.10E-05,0.00018911,0.00018206,0.000149517,0.00018911,0.000117363,0,0.000149517,0.000132751,8.47E-05,0.00067487,0.000118793,0.000103158,0.000236176,0.000125383,9.04E-05,1.43E-05,0.000119779,0.000181089,0.000114155,4.33E-05,0.000119779,5.10E-05,0.00018911,0.000184051,0.000149517,0.00018911
