Facility Id,Facility Name,Facility  Status,Location  Street Address,Location  City,Location  State,Location  Zip,Locatino  Zip Four,Location  Area Code,Location  Phone Number,Location  Phone Extension,Location  Rep First,Location  Rep Last,Location  County Identity,Utm East,Utm North,Application  Date,Application  Number,Application  Status,Application  Type,Permit Number,Permit Status,PO Issue Date,BCAT Number,BCAT Description,CCAT Number,CCAT  Description,Naics Code,Sic Code1,Sic Code2,Emi Amt Av30 Co,Emi Amt Av30 Nox,Emi Amt Av30 Pm10,Emi Amt Av30 Rog,Emi Amt Av30 Sox,Emi Amt Av30 Tog
11,"LA CITY, DEPT OF GEN SERV",A,2222 E 7TH ST,LOS ANGELES,CA,90023,    ,213,2370862,     ,ROY     ,MC KEE ,LA  ,387.0469971,3766.460938,5/26/89,205365,31,19,D34658,ACTIVE      ,1/10/91,41401,I C E (50-500 HP) N-EM PORT N-RENT GASOL,  ,,488490,9199,    ,0,0,0,0,0,0
21,"LA CITY, DEPT OF GEN SERVICES",A,1663 BUTLER AVE,WEST LOS ANGELES,CA,90025,3003,213,4737748,     ,SHARI,KUROKI,LA  ,366.0539856,3767.833008,12/10/98,349359,31,50,F26168,ACTIVE      ,3/23/00,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,925120,9199,    ,1,1,0,0,0,0
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",A,2011 ZONAL AVE,LOS ANGELES,CA,90033,1034,323,4422209,     ,ANGEL C,BURGOS,LA  ,388.7099915,3769.27002,5/27/86,144994,31,10,M54932,ACTIVE      ,2/25/87,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,611310,8221,    ,0,0,0,0,0,0
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",A,2011 ZONAL AVE,LOS ANGELES,CA,90033,1034,323,4422209,     ,ANGEL C,BURGOS,LA  ,388.7099915,3769.27002,5/27/86,144995,31,10,M54933,ACTIVE      ,2/25/87,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,611310,8221,    ,0,0,0,0,0,0
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",A,2011 ZONAL AVE,LOS ANGELES,CA,90033,1034,323,4422209,     ,ANGEL C,BURGOS,LA  ,388.7099915,3769.27002,4/15/91,247315,31,20,D49145,ACTIVE      ,6/2/92,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,611310,8221,    ,0.312,1.425,0.104,0.099,0.022,0
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",A,2011 ZONAL AVE,LOS ANGELES,CA,90033,1034,323,4422209,     ,ANGEL C,BURGOS,LA  ,388.7099915,3769.27002,5/24/93,281637,31,10,D74631,ACTIVE      ,6/28/93,43901,I C E (50-500 HP) EM ELEC GEN-DIESEL,  ,,611310,8221,    ,0,0,0,0,0,0
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",A,2011 ZONAL AVE,LOS ANGELES,CA,90033,1034,323,4422209,     ,ANGEL C,BURGOS,LA  ,388.7099915,3769.27002,9/24/93,285593,31,30,D77807,ACTIVE      ,10/19/93,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,611310,8221,    ,0,0,0,0,0,0
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",A,2011 ZONAL AVE,LOS ANGELES,CA,90033,1034,323,4422209,     ,ANGEL C,BURGOS,LA  ,388.7099915,3769.27002,4/25/97,327464,31,96,F7030 ,ACTIVE      ,5/2/97,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,611310,8221,    ,1,2,0,0,0,0
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",A,2011 ZONAL AVE,LOS ANGELES,CA,90033,1034,323,4422209,     ,ANGEL C,BURGOS,LA  ,388.7099915,3769.27002,6/27/01,389017,31,10,F43165,ACTIVE      ,8/17/01,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,611310,8221,    ,0,5,0,0,0,0
56,"UNIVERSITY SO CALIFORNIA,HEALTH SCIENCES",A,2011 ZONAL AVE,LOS ANGELES,CA,90033,1034,323,4422209,     ,ANGEL C,BURGOS,LA  ,388.7099915,3769.27002,9/17/03,420481,31,10,F63782,ACTIVE      ,10/7/03,43902,I C E (>500 HP) EM ELEC GEN DIESEL,  ,,611310,8221,    ,0,1,0,0,0,0
