cost_type,end_use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
incentive_dollars_per_first_year_kwh_saved,Interior Lighting,0.78,0.79,0.8,0.81,0.83,0.84,0.85,0.55,0.42,0.39,0.45,0.54,0.61,0.66,0.69,0.7,0.71,0.71,0.72,0.72
incentive_dollars_per_first_year_kwh_saved,Exterior Lighting,0.96,0.96,0.96,0.96,0.96,0.96,0.97,1,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
incentive_dollars_per_first_year_kwh_saved,Cooling,1.01,0.96,0.98,1,1.04,1.02,1,1.01,1.01,1.01,1.02,1.03,1.06,1.1,1.15,1.19,1.27,1.35,1.45,1.53
incentive_dollars_per_first_year_kwh_saved,Heating,2.7,2.68,2.66,2.64,2.66,2.67,2.68,2.69,2.7,2.69,2.68,2.65,2.6,2.55,2.46,2.41,2.3,2.2,2.11,1.6
incentive_dollars_per_first_year_kwh_saved,Ventilation,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,
incentive_dollars_per_first_year_kwh_saved,Hot Water,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
incentive_dollars_per_first_year_kwh_saved,Motors,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
incentive_dollars_per_first_year_kwh_saved,Plug Loads,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
incentive_dollars_per_first_year_kwh_saved,Miscellaneous,,,,,,,,,,,,,,,,,,,,
incentive_dollars_per_first_year_kwh_saved,Whole Building,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12
incentive_dollars_per_first_year_kwh_saved,Whole Building_NC,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
incentive_dollars_per_first_year_kwh_saved,Refrigeration,0.04,0.05,0.06,0.08,0.1,0.13,0.18,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47
incentive_dollars_per_first_year_kwh_saved,Whole Building_HVAC,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,,,,,,,,,,
incentive_dollars_per_first_year_kwh_saved,Cooking,0.45,0.43,0.41,0.4,0.38,0.36,0.34,0.32,0.31,0.3,0.28,0.26,0.26,0.25,0.24,0.21,0.22,0.21,0.21,0.21
incentive_dollars_per_first_year_kwh_saved,Industrial,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
incentive_dollars_per_first_year_kwh_saved,Agriculture,,,,,,,,,,,,,,,,,,,,
nonincentive_dollars_per_first_year_kwh_saved,Interior Lighting,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21
nonincentive_dollars_per_first_year_kwh_saved,Exterior Lighting,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
nonincentive_dollars_per_first_year_kwh_saved,Cooling,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
nonincentive_dollars_per_first_year_kwh_saved,Heating,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
nonincentive_dollars_per_first_year_kwh_saved,Ventilation,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,,,,,,,,
nonincentive_dollars_per_first_year_kwh_saved,Hot Water,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
nonincentive_dollars_per_first_year_kwh_saved,Motors,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,
nonincentive_dollars_per_first_year_kwh_saved,Plug Loads,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
