cost_type,end_use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
incentive_dollars_per_first_year_kwh_saved,Appliance,0.77,0.78,0.78,0.79,0.79,0.8,0.8,0.81,0.81,0.81,0.85,0.81,0.81,0.81,0.8,0.8,0.81,0.81,0.8,0.8
incentive_dollars_per_first_year_kwh_saved,Behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incentive_dollars_per_first_year_kwh_saved,Building Shell,7.54,8.7,9.99,11.5,13.8,15.89,19.67,23.51,47.27,40.3,13.69,18.45,29.2,46.11,257.27,,,,,
incentive_dollars_per_first_year_kwh_saved,Cooling,0.97,0.96,0.94,0.9,0.86,1.16,1.14,1.12,1.09,1.05,1.36,1.33,1.3,1.24,1.18,1.44,1.37,1.31,1.2,1.12
incentive_dollars_per_first_year_kwh_saved,Electronics,0.13,0.13,0.13,0.14,0.15,0.17,0.17,0.17,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.19
incentive_dollars_per_first_year_kwh_saved,HVAC,0.43,0.45,0.47,0.49,0.51,0.55,0.56,0.56,0.57,0.56,0.6,0.47,0.47,0.46,0.47,0.51,0.52,0.53,0.54,0.59
incentive_dollars_per_first_year_kwh_saved,Lighting,1.18,1.17,1.08,1.83,1.87,2.19,2.26,2.03,1.59,1.07,0.97,0.99,0.99,1,1.01,1.19,1.18,1.18,1.18,1.19
incentive_dollars_per_first_year_kwh_saved,Pools,0.5,0.49,0.49,0.5,0.51,0.52,0.54,0.57,0.59,0.62,0.47,0.47,0.5,0.51,0.52,0.54,0.57,0.6,0.62,0.65
incentive_dollars_per_first_year_kwh_saved,Water Heating,0.53,0.55,0.57,0.59,0.61,0.66,0.69,0.71,0.73,0.75,0.69,0.7,0.71,0.72,0.72,0.75,0.76,0.76,0.77,0.76
incentive_dollars_per_first_year_kwh_saved,New Construction,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
