power_plant,county,fuel,pollutant,discount_rate,US_LOW_annual ($/ton),US_HIGH_annual ($/ton),LAcounty_LOW ($/ton),LAcounty_HIGH ($/ton),Clark_LOW ($/ton),Clark_HIGH ($/ton),Millard_LOW ($/ton),Millard_HIGH ($/ton)
Harbor,LA,Gas,PM2.5,0.06,-817246,-1832532,-644696,-1444723,,,,
Harbor,LA,Gas,SO2,0.06,-385541,-864652,-297106,-665795,,,,
Harbor,LA,Gas,NOx,0.06,-79662,-178648,-62045,-139040,,,,
Haynes,LA,Gas,PM2.5,0.06,-817246,-1832532,-644696,-1444723,,,,
Haynes,LA,Gas,SO2,0.06,-385541,-864652,-297106,-665795,,,,
Haynes,LA,Gas,NOx,0.06,-79662,-178648,-62045,-139040,,,,
Apex,"Clark, NV",Gas,PM2.5,0.06,-87975,-198106,-8545,-19148,-49972,-112714,,
Apex,"Clark, NV",Gas,SO2,0.06,-6018,-13573,-2322,-5204,-6018,-13573,,
Apex,"Clark, NV",Gas,NOx,0.06,-4028,-9084,-1259,-2822,-4028,-9084,,
Scattergood,LA,Gas,PM2.5,0.06,-817246,-1832532,-644696,-1444723,,,,
Scattergood,LA,Gas,SO2,0.06,-385541,-864652,-297106,-665795,,,,
Scattergood,LA,Gas,NOx,0.06,-79662,-178648,-62045,-139040,,,,
Valley,LA,Gas,PM2.5,0.06,-817246,-1832532,-644696,-1444723,,,,
Valley,LA,Gas,SO2,0.06,-385541,-864652,-297106,-665795,,,,
Valley,LA,Gas,NOx,0.06,-79662,-178648,-62045,-139040,,,,
Intermountain,"Millard, UT",Coal,PM2.5,0.06,-31836,-71672,-1581,-3542,,,,
Intermountain,"Millard, UT",Coal,SO2,0.06,-13349,-30060,-718,-1610,,,,
Intermountain,"Millard, UT",Coal,NOx,0.06,-5655,-12733,-320,-717,,,,
Harbor,LA,Gas,PM2.5,0.03,-892079,-2002088,-703716,-1578414,,,,
Harbor,LA,Gas,SO2,0.03,-420843,-944650,-324305,-727406,,,,
Harbor,LA,Gas,NOx,0.03,-86957,-195177,-67726,-151906,,,,
Haynes,LA,Gas,PM2.5,0.03,-892079,-2002088,-703716,-1578414,,,,
Haynes,LA,Gas,SO2,0.03,-420843,-944650,-324305,-727406,,,,
Haynes,LA,Gas,NOx,0.03,-86957,-195177,-67726,-151906,,,,
Apex,"Clark, NV",Gas,PM2.5,0.03,-96042,-216435,-9327,-20920,-54560,-123146,,
Apex,"Clark, NV",Gas,SO2,0.03,-20763,-46776,-2535,-5685,-6570,-14829,,
Apex,"Clark, NV",Gas,NOx,0.03,-11100,-25006,-1374,-3083,-4397,-9925,,
Scattergood,LA,Gas,PM2.5,0.03,-892079,-2002088,-703716,-1578414,,,,
Scattergood,LA,Gas,SO2,0.03,-420843,-944650,-324305,-727406,,,,
Scattergood,LA,Gas,NOx,0.03,-86957,-195177,-67726,-151906,,,,
Valley,LA,Gas,PM2.5,0.03,-892079,-2002088,-703716,-1578414,,,,
Valley,LA,Gas,SO2,0.03,-420843,-944650,-324305,-727406,,,,
Valley,LA,Gas,NOx,0.03,-86957,-195177,-67726,-151906,,,,
Intermountain,"Millard, UT",Coal,PM2.5,0.03,-34750,-78296,-2427,-5478,,,-180,-406
Intermountain,"Millard, UT",Coal,SO2,0.03,-14573,-32840,-784,-1758,,,-28,-64
Intermountain,"Millard, UT",Coal,NOx,0.03,-6173,-13910,-349,-783,,,-16,-37
