,"resource_potential_(MW, 2030)",resource,0,annual_savings_2030
103,0,FCZ7.Commercial.Miscellaneous.WaterHeating,6325.577175818999,0.0
102,0,FCZ7.Commercial.Hotel.WaterHeating,6503.792833935,0.0
43,0,FCZ7.Commercial.Warehouse.Heating,936.0162013060001,0.0
42,0,FCZ7.Commercial.School.Heating,1374.8622080870002,0.0
41,0,FCZ7.Commercial.Retail.Heating,885.212321863009,0.0
101,0,FCZ7.Commercial.Health Care.WaterHeating,6796.343091163,0.0
100,0,FCZ7.Commercial.Food.WaterHeating,5758.920465724,0.0
37,0,FCZ7.Commercial.Miscellaneous.Heating,947.5999593590001,0.0
99,0,FCZ7.Commercial.College.WaterHeating,4980.311457783,0.0
40,0,FCZ7.Commercial.Restaurant.Heating,520.7648377322046,0.0
39,0,FCZ7.Commercial.Refrigerated Warehouse.Heating,1576.779645266,0.0
33,0,FCZ7.Commercial.College.Heating,1065.2072142729999,0.0
34,0,FCZ7.Commercial.Food.Heating,803.5550208830001,0.0
35,0,FCZ7.Commercial.Health Care.Heating,1206.3079145250001,0.0
36,0,FCZ7.Commercial.Hotel.Heating,1137.2385237100023,0.0
98,0.0,FCZ7.Commercial.Warehouse.Refrigeration,8760.0,0.0
104,0,FCZ7.Commercial.Office.WaterHeating,6038.76585227,0.0
38,0,FCZ7.Commercial.Office.Heating,526.7696548786122,0.0
105,0,FCZ7.Commercial.Refrigerated Warehouse.WaterHeating,5101.951839295999,0.0
106,0,FCZ7.Commercial.Restaurant.WaterHeating,4430.944329637001,0.0
107,0,FCZ7.Commercial.Retail.WaterHeating,4937.955016036,0.0
113,0,FCZ7.Residential.SINGLEFAMILY.Heating,710.726389252,0.0
112,0,FCZ7.Residential.MULTIFAMILY.Heating,750.612776791,0.0
108,0,FCZ7.Commercial.School.WaterHeating,2704.928316011,0.0
109,0,FCZ7.Commercial.Warehouse.WaterHeating,4827.753412063999,0.0
61,7.4575837354418305e-06,FCZ7.Commercial.Refrigerated Warehouse.OutdoorLighting,4063.6215711920004,0.03030479813631204
50,8.523331576347796e-06,FCZ7.Commercial.Refrigerated Warehouse.IndoorLightingEff,5639.866592752,0.04807045301639217
10,2.3917739292659824e-05,FCZ7.Commercial.Warehouse.Cooking,3849.644068916,0.09207478320986705
83,5.472861517641035e-05,FCZ7.Commercial.Refrigerated Warehouse.OfficeEquipment,4813.436575845,0.26343271803547935
72,5.082182629869693e-05,FCZ7.Commercial.Refrigerated Warehouse.Miscellaneous,5427.437944029,0.2758323084383987
55,0.00014129026954792743,FCZ7.Commercial.College.OutdoorLighting,4049.9546323110003,0.5722191816560985
47,8.283632240294824e-05,FCZ7.Commercial.Hotel.IndoorLightingEff,7525.852287713999,0.6234139264620424
57,0.0001593006987769711,FCZ7.Commercial.Health Care.OutdoorLighting,4179.699977480001,0.6658291270906544
51,0.00017627009429395295,FCZ7.Commercial.Restaurant.IndoorLightingEff,4864.407953598,0.8574496486649742
44,0.0001814978141116981,FCZ7.Commercial.College.IndoorLightingEff,5513.159441856,1.0006263875461336
58,0.00025061946605569186,FCZ7.Commercial.Hotel.OutdoorLighting,4063.6520970539996,1.0184303187997659
65,0.0002749148181492935,FCZ7.Commercial.Warehouse.OutdoorLighting,3840.7295156369996,1.0558734563519698
53,0.0003321076724043125,FCZ7.Commercial.School.IndoorLightingEff,3194.280642656,1.0608451092386357
28,0.00046354612447754623,FCZ7.Commercial.Refrigerated Warehouse.Ventilation,2804.413551985,1.2999750334549565
45,0.00020145318422996788,FCZ7.Commercial.Food.IndoorLightingEff,6658.5926375770005,1.3413946893301072
67,0.0002421768074689639,FCZ7.Commercial.Food.Miscellaneous,6516.078598904999,1.578043112299652
75,0.0007108444931943675,FCZ7.Commercial.School.Miscellaneous,2877.481389092,2.045441799705327
54,0.0003938720831848597,FCZ7.Commercial.Warehouse.IndoorLightingEff,5208.218378134,2.05137182227731
56,0.0005508449643570949,FCZ7.Commercial.Food.OutdoorLighting,4265.3021495269995,2.3495202105284405
