BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
LDWP,1/1/2019 12 a.m. PST,2804,2468,2668,-136
LDWP,1/1/2019 1 a.m. PST,2694,2365,2713,19
LDWP,1/1/2019 2 a.m. PST,2621,2339,2612,-8
LDWP,1/1/2019 3 a.m. PST,2553,2259,2526,-27
LDWP,1/1/2019 4 a.m. PST,2495,2194,2463,-32
LDWP,1/1/2019 5 a.m. PST,2476,2208,2453,-23
LDWP,1/1/2019 6 a.m. PST,2510,2242,2535,25
LDWP,1/1/2019 7 a.m. PST,2565,2262,2483,-81
LDWP,1/1/2019 8 a.m. PST,2560,2281,2495,-65
LDWP,1/1/2019 9 a.m. PST,2576,2305,2440,-136
LDWP,1/1/2019 10 a.m. PST,2574,2320,2252,-322
LDWP,1/1/2019 11 a.m. PST,2594,2331,2155,-440
LDWP,1/1/2019 12 p.m. PST,2587,2328,2148,-439
LDWP,1/1/2019 1 p.m. PST,2575,2338,2123,-452
LDWP,1/1/2019 2 p.m. PST,2570,2354,2096,-474
LDWP,1/1/2019 3 p.m. PST,2593,2386,2270,-323
LDWP,1/1/2019 4 p.m. PST,2678,2452,2518,-159
LDWP,1/1/2019 5 p.m. PST,2842,2624,2680,-162
LDWP,1/1/2019 6 p.m. PST,3243,2913,3055,-188
LDWP,1/1/2019 7 p.m. PST,3355,2898,3170,-185
LDWP,1/1/2019 8 p.m. PST,3364,2867,3233,-131
LDWP,1/1/2019 9 p.m. PST,3336,2842,3262,-74
LDWP,1/1/2019 10 p.m. PST,3248,2798,3233,-15
LDWP,1/1/2019 11 p.m. PST,3056,2679,3087,32
LDWP,1/2/2019 12 a.m. PST,2826,2515,2932,106
LDWP,1/2/2019 1 a.m. PST,2672,2304,2464,-208
LDWP,1/2/2019 2 a.m. PST,2530,2270,2273,-257
LDWP,1/2/2019 3 a.m. PST,2470,2191,2163,-307
LDWP,1/2/2019 4 a.m. PST,2462,2194,1988,-474
LDWP,1/2/2019 5 a.m. PST,2550,2239,2047,-503
LDWP,1/2/2019 6 a.m. PST,2803,2387,1784,-1019
LDWP,1/2/2019 7 a.m. PST,3063,2561,2037,-1026
LDWP,1/2/2019 8 a.m. PST,3203,2663,2186,-1017
LDWP,1/2/2019 9 a.m. PST,3217,2720,2533,-684
LDWP,1/2/2019 10 a.m. PST,3221,2763,2905,-317
LDWP,1/2/2019 11 a.m. PST,3224,2752,2917,-306
LDWP,1/2/2019 12 p.m. PST,3169,2721,2776,-392
LDWP,1/2/2019 1 p.m. PST,3127,2713,2714,-413
LDWP,1/2/2019 2 p.m. PST,3104,2721,2666,-438
LDWP,1/2/2019 3 p.m. PST,3102,2766,2681,-420
LDWP,1/2/2019 4 p.m. PST,3144,2831,2831,-313
LDWP,1/2/2019 5 p.m. PST,3299,3010,3041,-258
LDWP,1/2/2019 6 p.m. PST,3592,3281,3295,-297
LDWP,1/2/2019 7 p.m. PST,3638,3274,3292,-346
LDWP,1/2/2019 8 p.m. PST,3634,3253,3345,-289
LDWP,1/2/2019 9 p.m. PST,3599,3205,3336,-263
LDWP,1/2/2019 10 p.m. PST,3504,3083,3145,-359
LDWP,1/2/2019 11 p.m. PST,3253,2873,3098,-155
LDWP,1/3/2019 12 a.m. PST,3020,2652,3002,-18
LDWP,1/3/2019 1 a.m. PST,2805,2371,2758,-48
LDWP,1/3/2019 2 a.m. PST,2646,2336,2502,-144
LDWP,1/3/2019 3 a.m. PST,2552,2246,2399,-153
LDWP,1/3/2019 4 a.m. PST,2523,2245,2371,-152
LDWP,1/3/2019 5 a.m. PST,2607,2314,2496,-111
LDWP,1/3/2019 6 a.m. PST,2831,2500,2698,-133
LDWP,1/3/2019 7 a.m. PST,3084,2713,2738,-346
LDWP,1/3/2019 8 a.m. PST,3242,2858,2810,-433
LDWP,1/3/2019 9 a.m. PST,3229,2924,3013,-216
LDWP,1/3/2019 10 a.m. PST,3223,2960,2936,-287
LDWP,1/3/2019 11 a.m. PST,3193,2978,2805,-388
LDWP,1/3/2019 12 p.m. PST,3154,2977,2764,-390
LDWP,1/3/2019 1 p.m. PST,3100,2977,2695,-404
LDWP,1/3/2019 2 p.m. PST,3091,3005,2654,-437
LDWP,1/3/2019 3 p.m. PST,3102,3053,2634,-467
LDWP,1/3/2019 4 p.m. PST,3135,3088,2749,-386
LDWP,1/3/2019 5 p.m. PST,3274,3201,2859,-414
LDWP,1/3/2019 6 p.m. PST,3556,3329,3202,-354
LDWP,1/3/2019 7 p.m. PST,3575,3312,3178,-397
LDWP,1/3/2019 8 p.m. PST,3562,3259,3206,-356
LDWP,1/3/2019 9 p.m. PST,3529,3176,3148,-381
LDWP,1/3/2019 10 p.m. PST,3413,3051,3089,-324
LDWP,1/3/2019 11 p.m. PST,3219,2844,3040,-179
LDWP,1/4/2019 12 a.m. PST,2943,2604,2951,8
LDWP,1/4/2019 1 a.m. PST,2766,2416,2763,-3
LDWP,1/4/2019 2 a.m. PST,2629,2393,2584,-45
LDWP,1/4/2019 3 a.m. PST,2550,2338,2505,-45
LDWP,1/4/2019 4 a.m. PST,2523,2321,2490,-33
LDWP,1/4/2019 5 a.m. PST,2594,2387,2489,-105
LDWP,1/4/2019 6 a.m. PST,2809,2558,2669,-139
LDWP,1/4/2019 7 a.m. PST,3053,2751,2612,-441
LDWP,1/4/2019 8 a.m. PST,3209,2886,2667,-542
LDWP,1/4/2019 9 a.m. PST,3324,2981,2780,-544
LDWP,1/4/2019 10 a.m. PST,3451,3056,2678,-773
LDWP,1/4/2019 11 a.m. PST,3432,3077,2639,-793
LDWP,1/4/2019 12 p.m. PST,3398,3062,2625,-773
LDWP,1/4/2019 1 p.m. PST,3348,3096,2583,-765
LDWP,1/4/2019 2 p.m. PST,3319,3122,2546,-773
LDWP,1/4/2019 3 p.m. PST,3310,3112,2472,-839
LDWP,1/4/2019 4 p.m. PST,3095,3139,2541,-554
LDWP,1/4/2019 5 p.m. PST,3261,3266,2725,-536
LDWP,1/4/2019 6 p.m. PST,3535,3404,2865,-669
LDWP,1/4/2019 7 p.m. PST,3553,3383,2894,-659
LDWP,1/4/2019 8 p.m. PST,3513,3343,2888,-625
LDWP,1/4/2019 9 p.m. PST,3468,3266,2877,-591
LDWP,1/4/2019 10 p.m. PST,3362,3126,2736,-626
LDWP,1/4/2019 11 p.m. PST,3184,2932,2862,-322
LDWP,1/5/2019 12 a.m. PST,2908,2712,2752,-156
LDWP,1/5/2019 1 a.m. PST,2718,2624,2381,-337
LDWP,1/5/2019 2 a.m. PST,2594,2582,2343,-252
LDWP,1/5/2019 3 a.m. PST,2501,2492,2316,-185
LDWP,1/5/2019 4 a.m. PST,2443,2439,2208,-235
