"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"7/1/2019 12 a.m. PDT",2836,2580,2454,-382
LDWP,"7/1/2019 1 a.m. PDT",2631,2335,2149,-483
LDWP,"7/1/2019 2 a.m. PDT",2461,2287,1890,-571
LDWP,"7/1/2019 3 a.m. PDT",2356,2191,1809,-547
LDWP,"7/1/2019 4 a.m. PDT",2302,2125,1834,-468
LDWP,"7/1/2019 5 a.m. PDT",2338,2178,1912,-426
LDWP,"7/1/2019 6 a.m. PDT",2468,2303,1951,-516
LDWP,"7/1/2019 7 a.m. PDT",2672,2499,2114,-558
LDWP,"7/1/2019 8 a.m. PDT",2895,2739,2259,-636
LDWP,"7/1/2019 9 a.m. PDT",3109,2945,2528,-581
LDWP,"7/1/2019 10 a.m. PDT",3317,3137,2705,-612
LDWP,"7/1/2019 11 a.m. PDT",3508,3312,2892,-616
LDWP,"7/1/2019 12 p.m. PDT",3682,3458,3020,-662
LDWP,"7/1/2019 1 p.m. PDT",3876,3568,3181,-694
LDWP,"7/1/2019 2 p.m. PDT",4042,3669,3422,-620
LDWP,"7/1/2019 3 p.m. PDT",4205,3811,3581,-624
LDWP,"7/1/2019 4 p.m. PDT",4348,3952,3597,-751
LDWP,"7/1/2019 5 p.m. PDT",4408,4025,3678,-730
LDWP,"7/1/2019 6 p.m. PDT",4399,3972,3579,-821
LDWP,"7/1/2019 7 p.m. PDT",4242,3850,3307,-935
LDWP,"7/1/2019 8 p.m. PDT",4057,3672,3468,-589
LDWP,"7/1/2019 9 p.m. PDT",3910,3583,3149,-761
LDWP,"7/1/2019 10 p.m. PDT",3738,3456,2811,-927
LDWP,"7/1/2019 11 p.m. PDT",3376,3146,2741,-635
LDWP,"7/2/2019 12 a.m. PDT",3071,2882,2586,-484
LDWP,"7/2/2019 1 a.m. PDT",2793,2350,2405,-389
LDWP,"7/2/2019 2 a.m. PDT",2609,2300,2115,-494
LDWP,"7/2/2019 3 a.m. PDT",2487,2201,1973,-514
LDWP,"7/2/2019 4 a.m. PDT",2419,2150,1872,-547
LDWP,"7/2/2019 5 a.m. PDT",2422,2195,1876,-547
LDWP,"7/2/2019 6 a.m. PDT",2523,2297,1996,-527
LDWP,"7/2/2019 7 a.m. PDT",2709,2459,2153,-555
LDWP,"7/2/2019 8 a.m. PDT",2911,2646,2275,-636
LDWP,"7/2/2019 9 a.m. PDT",3134,2805,2474,-660
LDWP,"7/2/2019 10 a.m. PDT",3389,2902,2743,-647
LDWP,"7/2/2019 11 a.m. PDT",3708,2973,2930,-778
LDWP,"7/2/2019 12 p.m. PDT",3639,3073,2899,-740
LDWP,"7/2/2019 1 p.m. PDT",3771,3165,3114,-656
LDWP,"7/2/2019 2 p.m. PDT",3928,3264,3339,-589
LDWP,"7/2/2019 3 p.m. PDT",4099,3389,3458,-642
LDWP,"7/2/2019 4 p.m. PDT",4239,3514,3641,-598
LDWP,"7/2/2019 5 p.m. PDT",4327,3600,3520,-806
LDWP,"7/2/2019 6 p.m. PDT",4330,3593,3498,-832
LDWP,"7/2/2019 7 p.m. PDT",4146,3551,3511,-635
LDWP,"7/2/2019 8 p.m. PDT",3964,3469,3651,-312
LDWP,"7/2/2019 9 p.m. PDT",3821,3416,3349,-472
LDWP,"7/2/2019 10 p.m. PDT",3656,3276,2814,-842
LDWP,"7/2/2019 11 p.m. PDT",3333,3007,2747,-586
LDWP,"7/3/2019 12 a.m. PDT",3043,2735,2529,-513
LDWP,"7/3/2019 1 a.m. PDT",2791,2444,2297,-494
LDWP,"7/3/2019 2 a.m. PDT",2615,2386,2054,-560
LDWP,"7/3/2019 3 a.m. PDT",2484,2271,1911,-573
LDWP,"7/3/2019 4 a.m. PDT",2418,2200,1848,-569
LDWP,"7/3/2019 5 a.m. PDT",2423,2248,1765,-658
LDWP,"7/3/2019 6 a.m. PDT",2536,2363,1939,-597
LDWP,"7/3/2019 7 a.m. PDT",2696,2523,2113,-583
LDWP,"7/3/2019 8 a.m. PDT",2889,2700,2245,-644
LDWP,"7/3/2019 9 a.m. PDT",3063,2853,2429,-634
LDWP,"7/3/2019 10 a.m. PDT",3197,2976,2550,-646
LDWP,"7/3/2019 11 a.m. PDT",3348,3092,2732,-616
LDWP,"7/3/2019 12 p.m. PDT",3493,3195,2746,-747
LDWP,"7/3/2019 1 p.m. PDT",3609,3278,2885,-724
LDWP,"7/3/2019 2 p.m. PDT",3715,3376,2939,-776
LDWP,"7/3/2019 3 p.m. PDT",3839,3476,3097,-743
LDWP,"7/3/2019 4 p.m. PDT",3937,3600,3242,-695
LDWP,"7/3/2019 5 p.m. PDT",3991,3598,3181,-810
LDWP,"7/3/2019 6 p.m. PDT",3981,3594,3106,-875
LDWP,"7/3/2019 7 p.m. PDT",3821,3544,3033,-789
LDWP,"7/3/2019 8 p.m. PDT",3642,3422,3042,-600
LDWP,"7/3/2019 9 p.m. PDT",3573,3331,2960,-613
LDWP,"7/3/2019 10 p.m. PDT",3443,3189,2675,-768
LDWP,"7/3/2019 11 p.m. PDT",3175,2939,2634,-541
LDWP,"7/4/2019 12 a.m. PDT",2945,2672,2389,-556
LDWP,"7/4/2019 1 a.m. PDT",2701,2386,1966,-735
