"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"10/1/2019 12 a.m. PDT",2562,2749,2287,-275
LDWP,"10/1/2019 1 a.m. PDT",2383,2324,1885,-498
LDWP,"10/1/2019 2 a.m. PDT",2271,2271,1736,-535
LDWP,"10/1/2019 3 a.m. PDT",2200,2165,1665,-534
LDWP,"10/1/2019 4 a.m. PDT",2159,2100,1628,-531
LDWP,"10/1/2019 5 a.m. PDT",2188,2153,1649,-539
LDWP,"10/1/2019 6 a.m. PDT",2328,2365,1747,-581
LDWP,"10/1/2019 7 a.m. PDT",2578,2654,2003,-575
LDWP,"10/1/2019 8 a.m. PDT",2705,2845,2207,-497
LDWP,"10/1/2019 9 a.m. PDT",2781,2980,2187,-594
LDWP,"10/1/2019 10 a.m. PDT",3109,3115,2397,-712
LDWP,"10/1/2019 11 a.m. PDT",3206,3209,2480,-726
LDWP,"10/1/2019 12 p.m. PDT",3247,3273,2489,-758
LDWP,"10/1/2019 1 p.m. PDT",3287,3322,2484,-804
LDWP,"10/1/2019 2 p.m. PDT",3341,3338,2491,-850
LDWP,"10/1/2019 3 p.m. PDT",3409,3326,2580,-829
LDWP,"10/1/2019 4 p.m. PDT",3411,3304,2582,-828
LDWP,"10/1/2019 5 p.m. PDT",3228,3278,2447,-782
LDWP,"10/1/2019 6 p.m. PDT",3208,3259,2556,-653
LDWP,"10/1/2019 7 p.m. PDT",3222,3400,2793,-429
LDWP,"10/1/2019 8 p.m. PDT",3314,3399,2855,-459
LDWP,"10/1/2019 9 p.m. PDT",3192,3337,2750,-442
LDWP,"10/1/2019 10 p.m. PDT",3028,3196,2546,-481
LDWP,"10/1/2019 11 p.m. PDT",2805,2908,2430,-374
LDWP,"10/2/2019 12 a.m. PDT",2570,2700,2093,-477
LDWP,"10/2/2019 1 a.m. PDT",2401,2277,1936,-465
LDWP,"10/2/2019 2 a.m. PDT",2288,2236,1700,-589
LDWP,"10/2/2019 3 a.m. PDT",2208,2154,1623,-585
LDWP,"10/2/2019 4 a.m. PDT",2173,2100,1636,-536
LDWP,"10/2/2019 5 a.m. PDT",2201,2128,1641,-560
LDWP,"10/2/2019 6 a.m. PDT",2338,2250,1773,-566
LDWP,"10/2/2019 7 a.m. PDT",2613,2407,2035,-578
LDWP,"10/2/2019 8 a.m. PDT",2731,2541,1971,-761
LDWP,"10/2/2019 9 a.m. PDT",2855,2697,2055,-800
LDWP,"10/2/2019 10 a.m. PDT",3130,2854,2288,-842
LDWP,"10/2/2019 11 a.m. PDT",3300,2993,2403,-897
LDWP,"10/2/2019 12 p.m. PDT",3384,3108,2483,-901
LDWP,"10/2/2019 1 p.m. PDT",3226,3226,2457,-769
LDWP,"10/2/2019 2 p.m. PDT",3299,3375,2576,-723
