"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"9/1/2019 12 a.m. PDT",3391,3075,2869,-521
LDWP,"9/1/2019 1 a.m. PDT",3133,2837,2663,-470
LDWP,"9/1/2019 2 a.m. PDT",2918,2758,2424,-494
LDWP,"9/1/2019 3 a.m. PDT",2766,2598,2236,-530
LDWP,"9/1/2019 4 a.m. PDT",2650,2475,2120,-529
LDWP,"9/1/2019 5 a.m. PDT",2583,2419,2061,-523
LDWP,"9/1/2019 6 a.m. PDT",2578,2421,2028,-551
LDWP,"9/1/2019 7 a.m. PDT",2550,2400,2019,-532
LDWP,"9/1/2019 8 a.m. PDT",2588,2452,2108,-480
LDWP,"9/1/2019 9 a.m. PDT",2997,2601,2523,-474
LDWP,"9/1/2019 10 a.m. PDT",3319,2828,2794,-525
LDWP,"9/1/2019 11 a.m. PDT",3620,3120,3035,-585
LDWP,"9/1/2019 12 p.m. PDT",3844,3458,3194,-650
LDWP,"9/1/2019 1 p.m. PDT",4070,3789,3500,-570
LDWP,"9/1/2019 2 p.m. PDT",4343,4078,4120,-223
LDWP,"9/1/2019 3 p.m. PDT",4605,4322,4428,-177
LDWP,"9/1/2019 4 p.m. PDT",4763,4508,4516,-247
LDWP,"9/1/2019 5 p.m. PDT",4792,4625,4713,-79
LDWP,"9/1/2019 6 p.m. PDT",4715,4585,4726,11
LDWP,"9/1/2019 7 p.m. PDT",4513,4431,4555,42
LDWP,"9/1/2019 8 p.m. PDT",4331,4245,4320,-11
LDWP,"9/1/2019 9 p.m. PDT",4204,4030,4274,70
LDWP,"9/1/2019 10 p.m. PDT",3965,3727,3980,16
LDWP,"9/1/2019 11 p.m. PDT",3666,3395,3181,-485
LDWP,"9/2/2019 12 a.m. PDT",3361,3084,2855,-507
LDWP,"9/2/2019 1 a.m. PDT",3103,2802,2626,-477
LDWP,"9/2/2019 2 a.m. PDT",2897,2715,2398,-500
LDWP,"9/2/2019 3 a.m. PDT",2755,2550,2315,-440
LDWP,"9/2/2019 4 a.m. PDT",2685,2428,2170,-515
LDWP,"9/2/2019 5 a.m. PDT",2656,2370,2157,-499
LDWP,"9/2/2019 6 a.m. PDT",2707,2372,2246,-461
LDWP,"9/2/2019 7 a.m. PDT",2760,2350,2282,-478
LDWP,"9/2/2019 8 a.m. PDT",2829,2404,2337,-492
LDWP,"9/2/2019 9 a.m. PDT",3074,2558,2491,-583
LDWP,"9/2/2019 10 a.m. PDT",3404,2792,2832,-572
LDWP,"9/2/2019 11 a.m. PDT",3791,3094,3060,-731
LDWP,"9/2/2019 12 p.m. PDT",4194,3444,3648,-546
LDWP,"9/2/2019 1 p.m. PDT",4572,3786,4141,-431
LDWP,"9/2/2019 2 p.m. PDT",4881,4084,4477,-404
LDWP,"9/2/2019 3 p.m. PDT",5130,4337,4730,-399
LDWP,"9/2/2019 4 p.m. PDT",5265,4529,5076,-189
LDWP,"9/2/2019 5 p.m. PDT",5288,4650,5129,-159
LDWP,"9/2/2019 6 p.m. PDT",5255,4608,5281,26
LDWP,"9/2/2019 7 p.m. PDT",5086,4450,4953,-133
LDWP,"9/2/2019 8 p.m. PDT",4891,4257,4838,-53
LDWP,"9/2/2019 9 p.m. PDT",4696,4034,4737,41
LDWP,"9/2/2019 10 p.m. PDT",4447,3722,4440,-7
LDWP,"9/2/2019 11 p.m. PDT",4041,3378,3599,-443
LDWP,"9/3/2019 12 a.m. PDT",3639,3057,3127,-512
LDWP,"9/3/2019 1 a.m. PDT",3347,2819,2766,-581
LDWP,"9/3/2019 2 a.m. PDT",3121,2733,2535,-586
LDWP,"9/3/2019 3 a.m. PDT",2987,2591,2407,-580
LDWP,"9/3/2019 4 a.m. PDT",2911,2500,2424,-487
LDWP,"9/3/2019 5 a.m. PDT",2938,2534,2432,-506
LDWP,"9/3/2019 6 a.m. PDT",3095,2669,2538,-556
LDWP,"9/3/2019 7 a.m. PDT",3345,2865,2662,-683
LDWP,"9/3/2019 8 a.m. PDT",3623,3083,2939,-685
LDWP,"9/3/2019 9 a.m. PDT",3999,3339,3459,-540
LDWP,"9/3/2019 10 a.m. PDT",4358,3597,3778,-580
LDWP,"9/3/2019 11 a.m. PDT",4733,3850,4297,-435
LDWP,"9/3/2019 12 p.m. PDT",5084,4113,4697,-387
LDWP,"9/3/2019 1 p.m. PDT",5338,4360,4938,-400
LDWP,"9/3/2019 2 p.m. PDT",5595,4591,5357,-238
LDWP,"9/3/2019 3 p.m. PDT",5849,4837,5639,-209
LDWP,"9/3/2019 4 p.m. PDT",5990,5075,5734,-256
LDWP,"9/3/2019 5 p.m. PDT",6002,5066,5796,-206
LDWP,"9/3/2019 6 p.m. PDT",5904,4967,5610,-294
LDWP,"9/3/2019 7 p.m. PDT",5529,4728,5451,-78
LDWP,"9/3/2019 8 p.m. PDT",5282,4504,5324,42
LDWP,"9/3/2019 9 p.m. PDT",5075,4291,5178,103
LDWP,"9/3/2019 10 p.m. PDT",4714,3974,4606,-108
LDWP,"9/3/2019 11 p.m. PDT",4181,3583,4005,-176
LDWP,"9/4/2019 12 a.m. PDT",3765,3190,3339,-426
LDWP,"9/4/2019 1 a.m. PDT",3423,2909,3003,-420
LDWP,"9/4/2019 2 a.m. PDT",3177,2845,2698,-479
LDWP,"9/4/2019 3 a.m. PDT",3006,2718,2462,-543
LDWP,"9/4/2019 4 a.m. PDT",2897,2600,2455,-442
LDWP,"9/4/2019 5 a.m. PDT",2876,2634,2475,-401
LDWP,"9/4/2019 6 a.m. PDT",3003,2800,2530,-474
LDWP,"9/4/2019 7 a.m. PDT",3271,3029,2619,-652
LDWP,"9/4/2019 8 a.m. PDT",3489,3254,2944,-544
LDWP,"9/4/2019 9 a.m. PDT",3840,3533,3065,-775
LDWP,"9/4/2019 10 a.m. PDT",4171,3826,3318,-854
LDWP,"9/4/2019 11 a.m. PDT",4554,4112,3739,-814
LDWP,"9/4/2019 12 p.m. PDT",4923,4413,4262,-661
LDWP,"9/4/2019 1 p.m. PDT",5330,4695,4648,-681
LDWP,"9/4/2019 2 p.m. PDT",5731,4961,5317,-414
LDWP,"9/4/2019 3 p.m. PDT",5989,5212,5658,-331
LDWP,"9/4/2019 4 p.m. PDT",6151,5400,5745,-407
LDWP,"9/4/2019 5 p.m. PDT",6212,5500,5646,-565
