BA Code,Timestamp (Hour Ending),Total Generation (MWh),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh)
LDWP,1/1/2019 12 a.m. PST,2668,80,3,-2,203,605,1779
LDWP,1/1/2019 1 a.m. PST,2713,103,3,40,195,606,1767
LDWP,1/1/2019 2 a.m. PST,2612,149,3,-2,194,513,1755
LDWP,1/1/2019 3 a.m. PST,2526,123,2,-2,194,476,1732
LDWP,1/1/2019 4 a.m. PST,2463,145,2,-2,196,403,1718
LDWP,1/1/2019 5 a.m. PST,2453,118,2,-2,196,403,1735
LDWP,1/1/2019 6 a.m. PST,2535,137,2,43,196,403,1754
LDWP,1/1/2019 7 a.m. PST,2483,98,2,53,196,402,1731
LDWP,1/1/2019 8 a.m. PST,2495,109,111,38,196,351,1690
LDWP,1/1/2019 9 a.m. PST,2440,96,516,3,196,283,1347
LDWP,1/1/2019 10 a.m. PST,2252,90,812,4,192,271,883
LDWP,1/1/2019 11 a.m. PST,2155,44,876,4,192,299,740
LDWP,1/1/2019 12 p.m. PST,2148,32,885,3,192,295,741
LDWP,1/1/2019 1 p.m. PST,2123,10,873,4,192,302,742
LDWP,1/1/2019 2 p.m. PST,2096,17,827,4,192,307,748
LDWP,1/1/2019 3 p.m. PST,2270,26,681,5,192,347,1019
LDWP,1/1/2019 4 p.m. PST,2518,36,333,40,193,444,1473
LDWP,1/1/2019 5 p.m. PST,2680,40,35,178,193,506,1728
LDWP,1/1/2019 6 p.m. PST,3055,18,3,211,226,828,1768
LDWP,1/1/2019 7 p.m. PST,3170,15,3,210,229,940,1773
LDWP,1/1/2019 8 p.m. PST,3233,16,3,205,198,1037,1774
LDWP,1/1/2019 9 p.m. PST,3262,7,4,205,193,1078,1775
LDWP,1/1/2019 10 p.m. PST,3233,5,4,150,195,1103,1776
LDWP,1/1/2019 11 p.m. PST,3087,6,4,15,201,1091,1770
LDWP,1/2/2019 12 a.m. PST,2932,2,3,-2,201,961,1767
LDWP,1/2/2019 1 a.m. PST,2464,0,4,150,198,923,1188
LDWP,1/2/2019 2 a.m. PST,2273,0,4,227,203,963,876
LDWP,1/2/2019 3 a.m. PST,2163,0,4,264,203,817,875
LDWP,1/2/2019 4 a.m. PST,1988,1,4,177,203,728,876
LDWP,1/2/2019 5 a.m. PST,2047,2,3,179,203,784,876
LDWP,1/2/2019 6 a.m. PST,1784,4,4,175,202,518,881
LDWP,1/2/2019 7 a.m. PST,2037,10,3,185,229,716,894
LDWP,1/2/2019 8 a.m. PST,2186,9,112,185,230,756,894
LDWP,1/2/2019 9 a.m. PST,2533,2,516,30,201,747,1037
LDWP,1/2/2019 10 a.m. PST,2905,1,806,-2,200,756,1144
