"BA Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"9/1/2019 12 a.m. PDT",2869,105,4,172,263,1658,667
LDWP,"9/1/2019 1 a.m. PDT",2663,84,4,172,263,1501,639
LDWP,"9/1/2019 2 a.m. PDT",2424,98,4,172,248,1261,640
LDWP,"9/1/2019 3 a.m. PDT",2236,78,4,168,219,1128,640
LDWP,"9/1/2019 4 a.m. PDT",2120,77,4,88,217,1093,641
LDWP,"9/1/2019 5 a.m. PDT",2061,107,4,88,218,1001,642
LDWP,"9/1/2019 6 a.m. PDT",2028,101,3,89,218,974,643
LDWP,"9/1/2019 7 a.m. PDT",2019,94,25,89,218,952,642
LDWP,"9/1/2019 8 a.m. PDT",2108,60,347,89,218,753,643
LDWP,"9/1/2019 9 a.m. PDT",2523,44,772,89,219,758,643
LDWP,"9/1/2019 10 a.m. PDT",2794,69,968,88,219,808,642
LDWP,"9/1/2019 11 a.m. PDT",3035,108,1059,88,219,920,642
LDWP,"9/1/2019 12 p.m. PDT",3194,103,1081,88,219,1061,641
LDWP,"9/1/2019 1 p.m. PDT",3500,105,1075,89,249,1131,851
LDWP,"9/1/2019 2 p.m. PDT",4120,101,1070,88,270,1394,1196
LDWP,"9/1/2019 3 p.m. PDT",4428,75,1037,88,280,1511,1436
LDWP,"9/1/2019 4 p.m. PDT",4516,110,922,89,290,1628,1478
LDWP,"9/1/2019 5 p.m. PDT",4713,143,675,89,289,1846,1670
LDWP,"9/1/2019 6 p.m. PDT",4726,148,493,95,289,1946,1755
LDWP,"9/1/2019 7 p.m. PDT",4555,134,136,277,279,1949,1781
LDWP,"9/1/2019 8 p.m. PDT",4320,131,5,302,268,1830,1784
LDWP,"9/1/2019 9 p.m. PDT",4274,141,5,302,253,1805,1768
LDWP,"9/1/2019 10 p.m. PDT",3980,143,4,301,258,1788,1487
LDWP,"9/1/2019 11 p.m. PDT",3181,128,4,144,257,1615,1034
LDWP,"9/2/2019 12 a.m. PDT",2855,113,4,104,251,1693,689
LDWP,"9/2/2019 1 a.m. PDT",2626,108,4,104,254,1517,640
LDWP,"9/2/2019 2 a.m. PDT",2398,92,4,104,248,1313,638
LDWP,"9/2/2019 3 a.m. PDT",2315,110,4,104,247,1211,639
LDWP,"9/2/2019 4 a.m. PDT",2170,124,4,104,248,1050,640
LDWP,"9/2/2019 5 a.m. PDT",2157,90,3,104,251,1068,641
LDWP,"9/2/2019 6 a.m. PDT",2246,177,3,104,251,1068,642
LDWP,"9/2/2019 7 a.m. PDT",2282,187,11,121,252,1068,643
LDWP,"9/2/2019 8 a.m. PDT",2337,165,151,139,260,979,643
LDWP,"9/2/2019 9 a.m. PDT",2491,197,420,125,226,881,642
LDWP,"9/2/2019 10 a.m. PDT",2832,220,762,125,220,863,642
LDWP,"9/2/2019 11 a.m. PDT",3060,193,820,146,258,992,651
LDWP,"9/2/2019 12 p.m. PDT",3648,173,922,195,255,1185,919
LDWP,"9/2/2019 1 p.m. PDT",4141,132,1053,104,259,1483,1110
LDWP,"9/2/2019 2 p.m. PDT",4477,61,957,104,272,1690,1394
LDWP,"9/2/2019 3 p.m. PDT",4730,17,892,136,284,1906,1496
LDWP,"9/2/2019 4 p.m. PDT",5076,7,516,394,293,2161,1705
LDWP,"9/2/2019 5 p.m. PDT",5129,14,350,411,305,2310,1740
LDWP,"9/2/2019 6 p.m. PDT",5281,117,310,371,316,2401,1766
LDWP,"9/2/2019 7 p.m. PDT",4953,157,118,330,271,2294,1783
LDWP,"9/2/2019 8 p.m. PDT",4838,30,5,373,291,2354,1785
LDWP,"9/2/2019 9 p.m. PDT",4737,28,4,262,265,2407,1771
LDWP,"9/2/2019 10 p.m. PDT",4440,3,4,113,268,2310,1742
LDWP,"9/2/2019 11 p.m. PDT",3599,8,4,98,269,1806,1415
LDWP,"9/3/2019 12 a.m. PDT",3127,26,4,96,268,1782,950
LDWP,"9/3/2019 1 a.m. PDT",2766,24,4,93,258,1722,666
LDWP,"9/3/2019 2 a.m. PDT",2535,20,4,93,248,1529,641
LDWP,"9/3/2019 3 a.m. PDT",2407,21,4,93,220,1427,642
LDWP,"9/3/2019 4 a.m. PDT",2424,39,5,93,218,1428,642
LDWP,"9/3/2019 5 a.m. PDT",2432,43,4,93,220,1430,642
LDWP,"9/3/2019 6 a.m. PDT",2538,37,4,93,253,1509,643
LDWP,"9/3/2019 7 a.m. PDT",2662,40,18,93,256,1541,714
LDWP,"9/3/2019 8 a.m. PDT",2939,17,279,93,269,1540,740
LDWP,"9/3/2019 9 a.m. PDT",3459,9,669,93,241,1538,909
LDWP,"9/3/2019 10 a.m. PDT",3778,7,869,92,233,1570,1006
LDWP,"9/3/2019 11 a.m. PDT",4297,11,989,92,264,1552,1389
LDWP,"9/3/2019 12 p.m. PDT",4697,1,1042,91,267,1826,1471
LDWP,"9/3/2019 1 p.m. PDT",4938,2,1050,91,267,2046,1481
LDWP,"9/3/2019 2 p.m. PDT",5357,6,1048,91,283,2247,1682
LDWP,"9/3/2019 3 p.m. PDT",5639,10,869,105,299,2620,1736
LDWP,"9/3/2019 4 p.m. PDT",5734,22,770,144,312,2724,1762
LDWP,"9/3/2019 5 p.m. PDT",5796,34,696,142,311,2832,1782
LDWP,"9/3/2019 6 p.m. PDT",5610,104,410,154,323,2834,1784
LDWP,"9/3/2019 7 p.m. PDT",5451,100,104,309,318,2835,1784
LDWP,"9/3/2019 8 p.m. PDT",5324,113,5,273,307,2842,1785
LDWP,"9/3/2019 9 p.m. PDT",5178,126,5,273,273,2717,1784
LDWP,"9/3/2019 10 p.m. PDT",4606,48,5,273,274,2242,1764
LDWP,"9/3/2019 11 p.m. PDT",4005,38,5,101,274,2050,1537
LDWP,"9/4/2019 12 a.m. PDT",3339,35,5,91,274,1891,1042
LDWP,"9/4/2019 1 a.m. PDT",3003,32,4,91,274,1880,722
LDWP,"9/4/2019 2 a.m. PDT",2698,33,4,91,257,1673,640
LDWP,"9/4/2019 3 a.m. PDT",2462,27,4,92,220,1481,638
