state,facility,facility_id,year,date,hour,load_mw,so2_lb,nox_lb,co2_short_tons,heat_input_mmbtu
UT,Intermountain,6481,2019,1/1/19,0,1876,1429.3,5294.989,1729.8,16860.2
UT,Intermountain,6481,2019,1/1/19,1,1863,1422.7,5171.236,1722.1,16783.8
UT,Intermountain,6481,2019,1/1/19,2,1851,1392,5104.167,1708,16647.2
UT,Intermountain,6481,2019,1/1/19,3,1827,1274.3,5120.182,1683.2,16405.1
UT,Intermountain,6481,2019,1/1/19,4,1813,1202.2,4982.914,1675,16326.1
UT,Intermountain,6481,2019,1/1/19,5,1831,1106.6,4929.869,1693.6,16507.3
UT,Intermountain,6481,2019,1/1/19,6,1850,1005.6,4972.618,1719.7,16761.8
UT,Intermountain,6481,2019,1/1/19,7,1826,858.1,4805.004,1690.7,16478.7
UT,Intermountain,6481,2019,1/1/19,8,1782,762,4510.641,1649.5,16077.2
UT,Intermountain,6481,2019,1/1/19,9,1422,422,2937.354,1290.2,12574.3
UT,Intermountain,6481,2019,1/1/19,10,947,215.5,1573.725,877.4,8550.9
UT,Intermountain,6481,2019,1/1/19,11,804,172.5,1502.046,782.2,7624.4
UT,Intermountain,6481,2019,1/1/19,12,804,166.8,1510.584,786.7,7667.3
UT,Intermountain,6481,2019,1/1/19,13,803,166.7,1490.097,790,7700.8
UT,Intermountain,6481,2019,1/1/19,14,810,173.3,1508.052,795.5,7753.4
UT,Intermountain,6481,2019,1/1/19,15,1092,347,1929.765,1070.1,10430.4
UT,Intermountain,6481,2019,1/1/19,16,1563,552.3,3526.236,1488.6,14509.5
UT,Intermountain,6481,2019,1/1/19,17,1824,744.1,4607.194,1707.5,16642.5
UT,Intermountain,6481,2019,1/1/19,18,1864,805.3,4666.685,1744.3,17000.9
UT,Intermountain,6481,2019,1/1/19,19,1870,792.9,4482.753,1734.9,16910
UT,Intermountain,6481,2019,1/1/19,20,1869,833.7,4582.938,1734.7,16907.5
UT,Intermountain,6481,2019,1/1/19,21,1872,898.8,4600.356,1741.5,16974
UT,Intermountain,6481,2019,1/1/19,22,1873,956.6,4640.427,1743.5,16994.1
UT,Intermountain,6481,2019,1/1/19,23,1867,1008.6,4625.666,1741.6,16974.7
UT,Intermountain,6481,2019,1/2/19,0,1864,1066.2,4620.841,1730.2,16863.7
UT,Intermountain,6481,2019,1/2/19,1,1583,714.25,3343.285,1038.65,10123.7
UT,Intermountain,6481,2019,1/2/19,2,950,564.875,2683.941,987,9619.35
UT,Intermountain,6481,2019,1/2/19,3,950,600.6,2882.523,1012.2,9866.4
UT,Intermountain,6481,2019,1/2/19,4,950,633.9,2892.912,1005.8,9802.4
UT,Intermountain,6481,2019,1/2/19,5,950,615.5,2786.689,1010.8,9852.6
UT,Intermountain,6481,2019,1/2/19,6,965,639.6,2989.235,1024,9980.8
UT,Intermountain,6481,2019,1/2/19,7,969,535.2,2969.485,987.9,9628.4
UT,Intermountain,6481,2019,1/2/19,8,966,422.5,2712.968,940.1,9162.5
UT,Intermountain,6481,2019,1/2/19,9,1115,486.5,3098.891,1082.8,10553.5
UT,Intermountain,6481,2019,1/2/19,10,1221,512.7,3158.951,1183.9,11539.3
UT,Intermountain,6481,2019,1/2/19,11,1253,533.3,2817.666,1174,11442.4
UT,Intermountain,6481,2019,1/2/19,12,1148,468.9,2203.504,1063.3,10363.4
UT,Intermountain,6481,2019,1/2/19,13,1096,465.3,2109.982,1033.1,10069.4
UT,Intermountain,6481,2019,1/2/19,14,1082,462.6,2105.929,1028.2,10021
UT,Intermountain,6481,2019,1/2/19,15,1235,632.2,2409.671,1173.4,11436.8
UT,Intermountain,6481,2019,1/2/19,16,1625,924.2,4129.982,1535.6,14967.2
UT,Intermountain,6481,2019,1/2/19,17,1785,1015.3,5211.68,1658,16159.5
UT,Intermountain,6481,2019,1/2/19,18,1823,1035.4,5377.754,1689.9,16470.4
UT,Intermountain,6481,2019,1/2/19,19,1776,954.6,5088.658,1631.5,15901.9
UT,Intermountain,6481,2019,1/2/19,20,1873,1087,5580.69,1716.8,16733.1
UT,Intermountain,6481,2019,1/2/19,21,1883,1115.6,5515.133,1714.7,16712.4
UT,Intermountain,6481,2019,1/2/19,22,1884,1169.7,5448.537,1725.4,16816.8
UT,Intermountain,6481,2019,1/2/19,23,1884,1249.2,5417.662,1729,16852
UT,Intermountain,6481,2019,1/3/19,0,1883,1313.3,5459.488,1750.4,17060.9
UT,Intermountain,6481,2019,1/3/19,1,1822,1253.2,5223.194,1687.9,16451.8
UT,Intermountain,6481,2019,1/3/19,2,1614,978.3,4206.808,1480.8,14433.6
UT,Intermountain,6481,2019,1/3/19,3,1510,920.2,3870.331,1386.1,13510.4
UT,Intermountain,6481,2019,1/3/19,4,1482,930.3,3732.556,1367.8,13331.4
UT,Intermountain,6481,2019,1/3/19,5,1612,1112.7,4385.861,1495.5,14575.7
UT,Intermountain,6481,2019,1/3/19,6,1785,1373,5136.062,1654.8,16128.7
UT,Intermountain,6481,2019,1/3/19,7,1810,1397.4,5144.323,1670.2,16278.6
UT,Intermountain,6481,2019,1/3/19,8,1799,1376.5,5137.199,1654.8,16128.8
UT,Intermountain,6481,2019,1/3/19,9,1585,1038.7,3989.799,1441.7,14050.9
UT,Intermountain,6481,2019,1/3/19,10,1218,615.1,2623.52,1106.4,10784
UT,Intermountain,6481,2019,1/3/19,11,1033,593.1,1988.016,1037.8,10115.1
UT,Intermountain,6481,2019,1/3/19,12,982,576.7,1958.166,1009.1,9835.7
UT,Intermountain,6481,2019,1/3/19,13,922,556.8,1890.882,974.3,9496.8
UT,Intermountain,6481,2019,1/3/19,14,920,556.3,1888.295,973.3,9486.6
UT,Intermountain,6481,2019,1/3/19,15,1092,644.2,2158.854,1127.1,10985.3
UT,Intermountain,6481,2019,1/3/19,16,1589,828.5,3714.953,1449.3,14125.5
UT,Intermountain,6481,2019,1/3/19,17,1790,898,4187.972,1571.2,15314.2
UT,Intermountain,6481,2019,1/3/19,18,1812,912.8,4505.599,1597.2,15566.8
UT,Intermountain,6481,2019,1/3/19,19,1725,869.3,4054.521,1521.1,14826.3
UT,Intermountain,6481,2019,1/3/19,20,1814,912.4,4503.84,1596.6,15562.1
UT,Intermountain,6481,2019,1/3/19,21,1817,914.2,4512.818,1599.8,15593.2
UT,Intermountain,6481,2019,1/3/19,22,1818,909.6,4489.902,1591.6,15513.1
UT,Intermountain,6481,2019,1/3/19,23,1817,910.2,4493.313,1592.8,15524.8
UT,Intermountain,6481,2019,1/4/19,0,1816,912.8,4505.61,1597.2,15566.9
UT,Intermountain,6481,2019,1/4/19,1,1824,916.3,4523.077,1603.3,15627.2
UT,Intermountain,6481,2019,1/4/19,2,1676,848.2,3955.971,1484.2,14465.7
UT,Intermountain,6481,2019,1/4/19,3,1594,822.3,3492.93,1439,14025.4
UT,Intermountain,6481,2019,1/4/19,4,1579,811.1,3444.87,1419.2,13833
