state,facility,facility_id,year,date,hour,load_MW,so2_lb,nox_lb,co2_short_tons,heat_input_mmbtu
CA,Harbor Generating Station,399,2019,1/1/19,0,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,1,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,2,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,3,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,4,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,5,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,6,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,7,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,8,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,9,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,10,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,11,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,12,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,13,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,14,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,15,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,16,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,17,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,18,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,19,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,20,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,21,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,22,,,,,
CA,Harbor Generating Station,399,2019,1/1/19,23,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,0,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,1,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,2,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,3,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,4,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,5,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,6,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,7,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,8,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,9,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,10,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,11,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,12,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,13,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,14,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,15,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,16,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,17,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,18,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,19,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,20,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,21,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,22,,,,,
CA,Harbor Generating Station,399,2019,1/2/19,23,,,,,
