"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"8/1/2019 12 a.m. PDT",3267,3117,2542,-725
LDWP,"8/1/2019 1 a.m. PDT",2964,2751,2446,-518
LDWP,"8/1/2019 2 a.m. PDT",2772,2673,2236,-536
LDWP,"8/1/2019 3 a.m. PDT",2634,2516,2038,-595
LDWP,"8/1/2019 4 a.m. PDT",2543,2400,1978,-565
LDWP,"8/1/2019 5 a.m. PDT",2542,2436,1962,-580
LDWP,"8/1/2019 6 a.m. PDT",2658,2547,2033,-625
LDWP,"8/1/2019 7 a.m. PDT",2813,2758,2098,-716
LDWP,"8/1/2019 8 a.m. PDT",3046,3038,2449,-597
LDWP,"8/1/2019 9 a.m. PDT",3293,3298,2704,-589
LDWP,"8/1/2019 10 a.m. PDT",3535,3533,2923,-612
LDWP,"8/1/2019 11 a.m. PDT",3768,3776,3135,-633
LDWP,"8/1/2019 12 p.m. PDT",3996,4035,3360,-636
LDWP,"8/1/2019 1 p.m. PDT",4221,4275,3589,-632
LDWP,"8/1/2019 2 p.m. PDT",4454,4476,3848,-605
LDWP,"8/1/2019 3 p.m. PDT",4714,4667,4305,-408
LDWP,"8/1/2019 4 p.m. PDT",4915,4809,4578,-338
LDWP,"8/1/2019 5 p.m. PDT",5018,4900,4702,-316
LDWP,"8/1/2019 6 p.m. PDT",5055,4866,4682,-373
LDWP,"8/1/2019 7 p.m. PDT",4870,4721,4675,-195
LDWP,"8/1/2019 8 p.m. PDT",4597,4476,4488,-108
LDWP,"8/1/2019 9 p.m. PDT",4373,4268,4256,-117
LDWP,"8/1/2019 10 p.m. PDT",4052,3963,3576,-476
LDWP,"8/1/2019 11 p.m. PDT",3683,3530,3051,-632
LDWP,"8/2/2019 12 a.m. PDT",3314,3164,2820,-494
LDWP,"8/2/2019 1 a.m. PDT",3012,2758,2470,-542
LDWP,"8/2/2019 2 a.m. PDT",2804,2675,2182,-622
LDWP,"8/2/2019 3 a.m. PDT",2660,2509,2041,-619
LDWP,"8/2/2019 4 a.m. PDT",2573,2400,1965,-608
LDWP,"8/2/2019 5 a.m. PDT",2563,2464,1951,-612
LDWP,"8/2/2019 6 a.m. PDT",2660,2605,1979,-681
LDWP,"8/2/2019 7 a.m. PDT",2815,2775,2159,-656
LDWP,"8/2/2019 8 a.m. PDT",3044,2975,2361,-683
LDWP,"8/2/2019 9 a.m. PDT",3315,3208,2642,-673
LDWP,"8/2/2019 10 a.m. PDT",3557,3457,2884,-672
LDWP,"8/2/2019 11 a.m. PDT",3803,3712,3153,-650
LDWP,"8/2/2019 12 p.m. PDT",4066,3976,3498,-568
LDWP,"8/2/2019 1 p.m. PDT",4380,4225,4050,-329
LDWP,"8/2/2019 2 p.m. PDT",4657,4477,4440,-217
LDWP,"8/2/2019 3 p.m. PDT",4909,4713,4724,-185
LDWP,"8/2/2019 4 p.m. PDT",5124,4925,4989,-135
LDWP,"8/2/2019 5 p.m. PDT",5241,4925,5118,-123
LDWP,"8/2/2019 6 p.m. PDT",5233,4848,4938,-295
LDWP,"8/2/2019 7 p.m. PDT",4952,4621,4858,-94
LDWP,"8/2/2019 8 p.m. PDT",4630,4329,4526,-104
LDWP,"8/2/2019 9 p.m. PDT",4385,4105,4109,-276
LDWP,"8/2/2019 10 p.m. PDT",4081,3837,3677,-403
LDWP,"8/2/2019 11 p.m. PDT",3702,3459,3216,-486
LDWP,"8/3/2019 12 a.m. PDT",3379,3111,2858,-521
LDWP,"8/3/2019 1 a.m. PDT",3077,2910,2492,-586
LDWP,"8/3/2019 2 a.m. PDT",2870,2810,2277,-593
LDWP,"8/3/2019 3 a.m. PDT",2713,2641,2108,-604
LDWP,"8/3/2019 4 a.m. PDT",2593,2515,2011,-582
LDWP,"8/3/2019 5 a.m. PDT",2531,2439,1979,-552
LDWP,"8/3/2019 6 a.m. PDT",2530,2400,1954,-576
LDWP,"8/3/2019 7 a.m. PDT",2487,2451,1930,-557
LDWP,"8/3/2019 8 a.m. PDT",2699,2624,2064,-635
LDWP,"8/3/2019 9 a.m. PDT",3113,2893,2425,-688
LDWP,"8/3/2019 10 a.m. PDT",3386,3196,2647,-739
