"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"2/1/2019 12 a.m. PST",2794,2696,2485,-308
LDWP,"2/1/2019 1 a.m. PST",2619,2267,2326,-293
LDWP,"2/1/2019 2 a.m. PST",2480,2235,2163,-317
LDWP,"2/1/2019 3 a.m. PST",2413,2137,2119,-294
LDWP,"2/1/2019 4 a.m. PST",2382,2147,2102,-280
LDWP,"2/1/2019 5 a.m. PST",2433,2220,2207,-226
LDWP,"2/1/2019 6 a.m. PST",2620,2389,2431,-190
LDWP,"2/1/2019 7 a.m. PST",2930,2572,2576,-353
LDWP,"2/1/2019 8 a.m. PST",3077,2683,2804,-274
LDWP,"2/1/2019 9 a.m. PST",3135,2753,2768,-367
LDWP,"2/1/2019 10 a.m. PST",3154,2809,2640,-514
LDWP,"2/1/2019 11 a.m. PST",3209,2833,2626,-583
LDWP,"2/1/2019 12 p.m. PST",3158,2841,2609,-549
LDWP,"2/1/2019 1 p.m. PST",3105,2833,2573,-532
LDWP,"2/1/2019 2 p.m. PST",3088,2790,2564,-524
LDWP,"2/1/2019 3 p.m. PST",3095,2792,2561,-534
LDWP,"2/1/2019 4 p.m. PST",3138,2873,2781,-358
LDWP,"2/1/2019 5 p.m. PST",3196,3025,2877,-319
LDWP,"2/1/2019 6 p.m. PST",3414,3263,3023,-390
LDWP,"2/1/2019 7 p.m. PST",3449,3427,3007,-442
LDWP,"2/1/2019 8 p.m. PST",3368,3414,2995,-372
LDWP,"2/1/2019 9 p.m. PST",3283,3347,2949,-334
LDWP,"2/1/2019 10 p.m. PST",3159,3169,2717,-443
LDWP,"2/1/2019 11 p.m. PST",2983,2922,2646,-337
LDWP,"2/2/2019 12 a.m. PST",2783,2686,2513,-270
LDWP,"2/2/2019 1 a.m. PST",2596,2354,2195,-401
LDWP,"2/2/2019 2 a.m. PST",2464,2322,2024,-440
LDWP,"2/2/2019 3 a.m. PST",2375,2247,1980,-395
LDWP,"2/2/2019 4 a.m. PST",2320,2211,1910,-410
LDWP,"2/2/2019 5 a.m. PST",2317,2240,1941,-376
LDWP,"2/2/2019 6 a.m. PST",2365,2326,2004,-361
LDWP,"2/2/2019 7 a.m. PST",2496,2426,2236,-260
LDWP,"2/2/2019 8 a.m. PST",2609,2540,2351,-258
LDWP,"2/2/2019 9 a.m. PST",2809,2668,2414,-394
LDWP,"2/2/2019 10 a.m. PST",2993,2760,2431,-562
LDWP,"2/2/2019 11 a.m. PST",3133,2819,2499,-634
LDWP,"2/2/2019 12 p.m. PST",3200,2766,2716,-484
LDWP,"2/2/2019 1 p.m. PST",3161,2642,2679,-483
LDWP,"2/2/2019 2 p.m. PST",3103,2610,2619,-484
LDWP,"2/2/2019 3 p.m. PST",2989,2639,2574,-416
LDWP,"2/2/2019 4 p.m. PST",2951,2703,2662,-289
LDWP,"2/2/2019 5 p.m. PST",3011,2891,2807,-204
LDWP,"2/2/2019 6 p.m. PST",3187,3211,2882,-306
LDWP,"2/2/2019 7 p.m. PST",3292,3205,2952,-340
LDWP,"2/2/2019 8 p.m. PST",3259,3163,2933,-326
LDWP,"2/2/2019 9 p.m. PST",3178,3097,2931,-247
LDWP,"2/2/2019 10 p.m. PST",3076,3007,2862,-214
LDWP,"2/2/2019 11 p.m. PST",2923,2824,2655,-268
LDWP,"2/3/2019 12 a.m. PST",2748,2590,2372,-375
LDWP,"2/3/2019 1 a.m. PST",2587,2420,2195,-393
LDWP,"2/3/2019 2 a.m. PST",2465,2378,2093,-372
LDWP,"2/3/2019 3 a.m. PST",2390,2300,1900,-490
LDWP,"2/3/2019 4 a.m. PST",2342,2259,1881,-462
LDWP,"2/3/2019 5 a.m. PST",2335,2262,1957,-378
LDWP,"2/3/2019 6 a.m. PST",2370,2333,2217,-153
LDWP,"2/3/2019 7 a.m. PST",2434,2390,2215,-220
LDWP,"2/3/2019 8 a.m. PST",2475,2412,2299,-176
LDWP,"2/3/2019 9 a.m. PST",2784,2445,2463,-321
LDWP,"2/3/2019 10 a.m. PST",3183,2491,2677,-506
LDWP,"2/3/2019 11 a.m. PST",3256,2497,2613,-643
