"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"3/1/2019 12 a.m. PST",2621,2602,2492,-128
LDWP,"3/1/2019 1 a.m. PST",2459,2350,2290,-169
LDWP,"3/1/2019 2 a.m. PST",2342,2325,2120,-222
LDWP,"3/1/2019 3 a.m. PST",2268,2282,1991,-277
LDWP,"3/1/2019 4 a.m. PST",2240,2297,1912,-328
LDWP,"3/1/2019 5 a.m. PST",2287,2390,1967,-320
LDWP,"3/1/2019 6 a.m. PST",2432,2592,2157,-275
LDWP,"3/1/2019 7 a.m. PST",2663,2797,2492,-172
LDWP,"3/1/2019 8 a.m. PST",2832,2875,2696,-136
LDWP,"3/1/2019 9 a.m. PST",2947,2865,2820,-127
LDWP,"3/1/2019 10 a.m. PST",3019,2841,2767,-252
LDWP,"3/1/2019 11 a.m. PST",3017,2812,2538,-479
LDWP,"3/1/2019 12 p.m. PST",3002,2785,2422,-580
LDWP,"3/1/2019 1 p.m. PST",2998,2753,2422,-576
LDWP,"3/1/2019 2 p.m. PST",2982,2745,2444,-538
LDWP,"3/1/2019 3 p.m. PST",3005,2763,2540,-465
LDWP,"3/1/2019 4 p.m. PST",3027,2803,2689,-338
LDWP,"3/1/2019 5 p.m. PST",3081,2895,2714,-367
LDWP,"3/1/2019 6 p.m. PST",3166,3100,2794,-372
LDWP,"3/1/2019 7 p.m. PST",3272,3297,2784,-488
LDWP,"3/1/2019 8 p.m. PST",3213,3280,2789,-424
LDWP,"3/1/2019 9 p.m. PST",3134,3191,2772,-362
LDWP,"3/1/2019 10 p.m. PST",3017,3074,2679,-337
LDWP,"3/1/2019 11 p.m. PST",2849,2905,2651,-197
LDWP,"3/2/2019 12 a.m. PST",2673,2685,2530,-143
LDWP,"3/2/2019 1 a.m. PST",2513,2484,2323,-189
LDWP,"3/2/2019 2 a.m. PST",2406,2446,2262,-144
LDWP,"3/2/2019 3 a.m. PST",2341,2380,2164,-177
LDWP,"3/2/2019 4 a.m. PST",2301,2340,2115,-186
LDWP,"3/2/2019 5 a.m. PST",2269,2335,1931,-338
LDWP,"3/2/2019 6 a.m. PST",2321,2380,2089,-232
LDWP,"3/2/2019 7 a.m. PST",2391,2472,2304,-87
LDWP,"3/2/2019 8 a.m. PST",2485,2582,2437,-48
LDWP,"3/2/2019 9 a.m. PST",2656,2713,2369,-287
LDWP,"3/2/2019 10 a.m. PST",2783,2854,2546,-236
LDWP,"3/2/2019 11 a.m. PST",2929,2942,2531,-398
LDWP,"3/2/2019 12 p.m. PST",3294,2979,2573,-721
LDWP,"3/2/2019 1 p.m. PST",3351,2957,2595,-756
LDWP,"3/2/2019 2 p.m. PST",3324,2895,2511,-813
LDWP,"3/2/2019 3 p.m. PST",3277,2827,2467,-810
LDWP,"3/2/2019 4 p.m. PST",3244,2811,2383,-861
LDWP,"3/2/2019 5 p.m. PST",2981,2884,2318,-664
LDWP,"3/2/2019 6 p.m. PST",2914,3106,2243,-671
LDWP,"3/2/2019 7 p.m. PST",3073,3102,2339,-734
LDWP,"3/2/2019 8 p.m. PST",3056,3070,2543,-513
LDWP,"3/2/2019 9 p.m. PST",3048,3003,2750,-298
LDWP,"3/2/2019 10 p.m. PST",2956,2906,2651,-304
LDWP,"3/2/2019 11 p.m. PST",2815,2788,2565,-250
LDWP,"3/3/2019 12 a.m. PST",2651,2657,2487,-164
LDWP,"3/3/2019 1 a.m. PST",2492,2416,2303,-189
LDWP,"3/3/2019 2 a.m. PST",2389,2375,2130,-259
LDWP,"3/3/2019 3 a.m. PST",2314,2298,2125,-189
LDWP,"3/3/2019 4 a.m. PST",2261,2253,2121,-140
LDWP,"3/3/2019 5 a.m. PST",2253,2249,2142,-111
LDWP,"3/3/2019 6 a.m. PST",2281,2287,2153,-128
LDWP,"3/3/2019 7 a.m. PST",2292,2326,2335,44
LDWP,"3/3/2019 8 a.m. PST",2306,2393,2278,-28
LDWP,"3/3/2019 9 a.m. PST",2377,2512,2104,-273
LDWP,"3/3/2019 10 a.m. PST",2713,2634,2154,-559
LDWP,"3/3/2019 11 a.m. PST",2766,2689,2257,-510
LDWP,"3/3/2019 12 p.m. PST",2759,2694,2253,-506
LDWP,"3/3/2019 1 p.m. PST",2731,2693,2218,-513
LDWP,"3/3/2019 2 p.m. PST",2729,2688,2212,-517
LDWP,"3/3/2019 3 p.m. PST",2742,2686,2239,-503
LDWP,"3/3/2019 4 p.m. PST",2673,2674,2203,-470
LDWP,"3/3/2019 5 p.m. PST",2621,2764,2412,-209
LDWP,"3/3/2019 6 p.m. PST",2799,2968,2845,46
LDWP,"3/3/2019 7 p.m. PST",3020,3081,2842,-178
LDWP,"3/3/2019 8 p.m. PST",3044,3102,2896,-149
LDWP,"3/3/2019 9 p.m. PST",2998,3073,2855,-143
LDWP,"3/3/2019 10 p.m. PST",2899,2950,2812,-87
LDWP,"3/3/2019 11 p.m. PST",2724,2736,2565,-160
LDWP,"3/4/2019 12 a.m. PST",2543,2511,2380,-164
LDWP,"3/4/2019 1 a.m. PST",2395,2381,2197,-198
LDWP,"3/4/2019 2 a.m. PST",2309,2423,2127,-182
LDWP,"3/4/2019 3 a.m. PST",2262,2291,2127,-135
LDWP,"3/4/2019 4 a.m. PST",2246,2300,2123,-123
LDWP,"3/4/2019 5 a.m. PST",2272,2365,2178,-94
LDWP,"3/4/2019 6 a.m. PST",2430,2552,2452,22
LDWP,"3/4/2019 7 a.m. PST",2669,2779,2603,-66
LDWP,"3/4/2019 8 a.m. PST",2819,2927,2745,-74
LDWP,"3/4/2019 9 a.m. PST",2897,3001,2734,-162
LDWP,"3/4/2019 10 a.m. PST",2886,3028,2563,-323
LDWP,"3/4/2019 11 a.m. PST",2901,3033,2503,-398
LDWP,"3/4/2019 12 p.m. PST",2909,3018,2450,-459
LDWP,"3/4/2019 1 p.m. PST",2895,2986,2471,-424
LDWP,"3/4/2019 2 p.m. PST",2907,2984,2410,-497
LDWP,"3/4/2019 3 p.m. PST",2930,2996,2368,-562
LDWP,"3/4/2019 4 p.m. PST",2993,3001,2654,-339
LDWP,"3/4/2019 5 p.m. PST",3046,3030,2884,-163
LDWP,"3/4/2019 6 p.m. PST",3104,3271,2861,-243
LDWP,"3/4/2019 7 p.m. PST",3262,3269,2995,-267
LDWP,"3/4/2019 8 p.m. PST",3245,3243,3024,-222
LDWP,"3/4/2019 9 p.m. PST",3180,3174,2999,-181
LDWP,"3/4/2019 10 p.m. PST",3093,3032,2915,-178
LDWP,"3/4/2019 11 p.m. PST",2887,2823,2712,-174
LDWP,"3/5/2019 12 a.m. PST",2671,2618,2564,-107
LDWP,"3/5/2019 1 a.m. PST",2502,2396,2573,71
LDWP,"3/5/2019 2 a.m. PST",2408,2359,2565,157
LDWP,"3/5/2019 3 a.m. PST",2345,2287,2436,90
LDWP,"3/5/2019 4 a.m. PST",2329,2268,2463,134
LDWP,"3/5/2019 5 a.m. PST",2378,2321,2478,101
LDWP,"3/5/2019 6 a.m. PST",2543,2470,2509,-33
LDWP,"3/5/2019 7 a.m. PST",2783,2699,2534,-249
LDWP,"3/5/2019 8 a.m. PST",2940,2914,2708,-232
LDWP,"3/5/2019 9 a.m. PST",3005,3071,2894,-111
LDWP,"3/5/2019 10 a.m. PST",3069,3193,3073,4
LDWP,"3/5/2019 11 a.m. PST",3045,3286,2941,-104
LDWP,"3/5/2019 12 p.m. PST",3107,3254,2944,-163
LDWP,"3/5/2019 1 p.m. PST",3056,3140,3083,27
LDWP,"3/5/2019 2 p.m. PST",3050,3035,3071,21
LDWP,"3/5/2019 3 p.m. PST",3079,2963,3008,-71
LDWP,"3/5/2019 4 p.m. PST",3040,2920,2929,-111
LDWP,"3/5/2019 5 p.m. PST",3132,2989,3060,-72
LDWP,"3/5/2019 6 p.m. PST",3239,3116,3332,93
LDWP,"3/5/2019 7 p.m. PST",3340,3186,3460,120
LDWP,"3/5/2019 8 p.m. PST",3311,3163,3354,44
LDWP,"3/5/2019 9 p.m. PST",3226,3101,3145,-81
LDWP,"3/5/2019 10 p.m. PST",3090,2973,3017,-72
LDWP,"3/5/2019 11 p.m. PST",2875,2759,2910,35
LDWP,"3/6/2019 12 a.m. PST",2645,2553,2709,64
LDWP,"3/6/2019 1 a.m. PST",2470,2399,2432,-37
LDWP,"3/6/2019 2 a.m. PST",2357,2363,2311,-45
LDWP,"3/6/2019 3 a.m. PST",2285,2289,2192,-92
LDWP,"3/6/2019 4 a.m. PST",2258,2270,1997,-260
LDWP,"3/6/2019 5 a.m. PST",2310,2322,2047,-264
LDWP,"3/6/2019 6 a.m. PST",2493,2471,2404,-89
LDWP,"3/6/2019 7 a.m. PST",2789,2700,2750,-39
LDWP,"3/6/2019 8 a.m. PST",3038,2915,2903,-135
LDWP,"3/6/2019 9 a.m. PST",3204,3070,2991,-214
LDWP,"3/6/2019 10 a.m. PST",3315,3192,3054,-261
LDWP,"3/6/2019 11 a.m. PST",3360,3284,3145,-215
LDWP,"3/6/2019 12 p.m. PST",3317,3253,3177,-140
LDWP,"3/6/2019 1 p.m. PST",3269,3138,2910,-359
LDWP,"3/6/2019 2 p.m. PST",3269,3033,2909,-361
LDWP,"3/6/2019 3 p.m. PST",3249,2959,2964,-285
LDWP,"3/6/2019 4 p.m. PST",3242,2917,2951,-291
LDWP,"3/6/2019 5 p.m. PST",3278,2988,3001,-277
LDWP,"3/6/2019 6 p.m. PST",3341,3115,3085,-255
LDWP,"3/6/2019 7 p.m. PST",3460,3188,3209,-251
LDWP,"3/6/2019 8 p.m. PST",3422,3163,2984,-438
LDWP,"3/6/2019 9 p.m. PST",3327,3102,2886,-441
