"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Total Generation (MWh)"
LDWP,"8/1/2019 12 a.m. PDT",17,0,57,258,1542,669,2542
LDWP,"8/1/2019 1 a.m. PDT",30,0,57,247,1473,639,2446
LDWP,"8/1/2019 2 a.m. PDT",23,0,57,229,1287,640,2236
LDWP,"8/1/2019 3 a.m. PDT",29,0,57,218,1094,640,2038
LDWP,"8/1/2019 4 a.m. PDT",42,0,57,218,1021,640,1978
LDWP,"8/1/2019 5 a.m. PDT",57,0,57,219,988,641,1962
LDWP,"8/1/2019 6 a.m. PDT",96,0,57,250,989,642,2033
LDWP,"8/1/2019 7 a.m. PDT",76,75,57,249,1000,641,2098
LDWP,"8/1/2019 8 a.m. PDT",48,471,57,247,985,641,2449
LDWP,"8/1/2019 9 a.m. PDT",46,841,57,220,898,641,2704
LDWP,"8/1/2019 10 a.m. PDT",104,1014,56,217,891,641,2923
LDWP,"8/1/2019 11 a.m. PDT",92,1106,56,217,1024,640,3135
LDWP,"8/1/2019 12 p.m. PDT",32,1140,56,239,1253,639,3360
LDWP,"8/1/2019 1 p.m. PDT",18,1149,56,241,1485,639,3589
LDWP,"8/1/2019 2 p.m. PDT",19,1050,57,265,1773,686,3848
LDWP,"8/1/2019 3 p.m. PDT",15,1016,58,286,1998,933,4305
LDWP,"8/1/2019 4 p.m. PDT",26,1074,56,283,1999,1139,4578
LDWP,"8/1/2019 5 p.m. PDT",21,955,56,287,2013,1369,4702
LDWP,"8/1/2019 6 p.m. PDT",48,746,56,267,2083,1482,4682
LDWP,"8/1/2019 7 p.m. PDT",120,357,229,301,2089,1580,4675
LDWP,"8/1/2019 8 p.m. PDT",111,39,249,294,2040,1756,4488
LDWP,"8/1/2019 9 p.m. PDT",86,0,240,278,1933,1720,4256
LDWP,"8/1/2019 10 p.m. PDT",79,0,57,270,2054,1117,3576
LDWP,"8/1/2019 11 p.m. PDT",79,0,57,269,1877,769,3051
LDWP,"8/2/2019 12 a.m. PDT",110,0,57,257,1723,674,2820
LDWP,"8/2/2019 1 a.m. PDT",115,0,57,248,1413,639,2470
LDWP,"8/2/2019 2 a.m. PDT",103,0,56,221,1163,639,2182
LDWP,"8/2/2019 3 a.m. PDT",72,0,56,219,1053,640,2041
LDWP,"8/2/2019 4 a.m. PDT",71,0,56,219,977,641,1965
LDWP,"8/2/2019 5 a.m. PDT",57,0,56,219,978,641,1951
LDWP,"8/2/2019 6 a.m. PDT",47,0,57,220,1014,641,1979
LDWP,"8/2/2019 7 a.m. PDT",49,76,57,247,1089,641,2159
LDWP,"8/2/2019 8 a.m. PDT",37,475,57,220,932,641,2361
LDWP,"8/2/2019 9 a.m. PDT",26,850,56,219,849,641,2642
LDWP,"8/2/2019 10 a.m. PDT",16,1017,56,218,934,642,2884
LDWP,"8/2/2019 11 a.m. PDT",5,1105,56,218,1127,641,3153
LDWP,"8/2/2019 12 p.m. PDT",2,1132,56,228,1402,679,3498
LDWP,"8/2/2019 1 p.m. PDT",24,1128,58,257,1547,1036,4050
LDWP,"8/2/2019 2 p.m. PDT",40,1127,59,286,1644,1285,4440
LDWP,"8/2/2019 3 p.m. PDT",53,1102,59,282,1758,1470,4724
LDWP,"8/2/2019 4 p.m. PDT",47,1011,59,288,1965,1619,4989
LDWP,"8/2/2019 5 p.m. PDT",49,864,60,300,2108,1738,5118
LDWP,"8/2/2019 6 p.m. PDT",62,672,65,273,2124,1742,4938
LDWP,"8/2/2019 7 p.m. PDT",84,309,405,275,2005,1780,4858
LDWP,"8/2/2019 8 p.m. PDT",103,37,538,270,1860,1718,4526
LDWP,"8/2/2019 9 p.m. PDT",75,0,569,251,1868,1346,4109
LDWP,"8/2/2019 10 p.m. PDT",65,0,369,259,1869,1116,3677
LDWP,"8/2/2019 11 p.m. PDT",118,0,203,266,1843,786,3216
LDWP,"8/3/2019 12 a.m. PDT",146,0,168,259,1646,639,2858
LDWP,"8/3/2019 1 a.m. PDT",141,0,169,257,1293,632,2492
LDWP,"8/3/2019 2 a.m. PDT",129,0,169,222,1119,638,2277
LDWP,"8/3/2019 3 a.m. PDT",112,0,168,218,971,639,2108
LDWP,"8/3/2019 4 a.m. PDT",111,0,163,218,879,640,2011
LDWP,"8/3/2019 5 a.m. PDT",93,0,162,218,865,641,1979
LDWP,"8/3/2019 6 a.m. PDT",83,0,163,198,870,641,1954
LDWP,"8/3/2019 7 a.m. PDT",77,56,164,42,951,640,1930
LDWP,"8/3/2019 8 a.m. PDT",36,439,164,42,743,640,2064
LDWP,"8/3/2019 9 a.m. PDT",32,816,163,42,732,640,2425
LDWP,"8/3/2019 10 a.m. PDT",27,956,162,42,820,640,2647
LDWP,"8/3/2019 11 a.m. PDT",17,1074,168,42,908,640,2850
LDWP,"8/3/2019 12 p.m. PDT",34,1095,169,42,1050,641,3032
LDWP,"8/3/2019 1 p.m. PDT",13,1120,168,42,1535,655,3533
LDWP,"8/3/2019 2 p.m. PDT",20,1128,168,58,1742,953,4068
LDWP,"8/3/2019 3 p.m. PDT",137,1088,168,68,1841,1273,4575
LDWP,"8/3/2019 4 p.m. PDT",162,987,169,87,1809,1530,4744
LDWP,"8/3/2019 5 p.m. PDT",144,787,221,88,1977,1377,4593
LDWP,"8/3/2019 6 p.m. PDT",66,629,407,99,2100,1342,4643
LDWP,"8/3/2019 7 p.m. PDT",37,227,557,102,2153,1396,4471
LDWP,"8/3/2019 8 p.m. PDT",40,21,536,130,2164,1341,4231
LDWP,"8/3/2019 9 p.m. PDT",37,0,577,252,2143,940,3948
LDWP,"8/3/2019 10 p.m. PDT",36,0,365,248,2002,664,3315
LDWP,"8/3/2019 11 p.m. PDT",31,0,348,262,1721,641,3002
LDWP,"8/4/2019 12 a.m. PDT",22,0,348,259,1549,639,2817
LDWP,"8/4/2019 1 a.m. PDT",13,0,392,251,1336,639,2631
LDWP,"8/4/2019 2 a.m. PDT",15,0,214,246,1277,639,2391
LDWP,"8/4/2019 3 a.m. PDT",25,0,169,246,1174,640,2255
LDWP,"8/4/2019 4 a.m. PDT",35,0,169,249,1057,641,2151
LDWP,"8/4/2019 5 a.m. PDT",40,0,169,218,997,641,2065
