"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Total Generation (MWh)"
LDWP,"3/1/2019 12 a.m. PST",238,3,50,230,1090,880,2492
LDWP,"3/1/2019 1 a.m. PST",360,3,50,224,841,813,2290
LDWP,"3/1/2019 2 a.m. PST",295,3,50,194,757,820,2120
LDWP,"3/1/2019 3 a.m. PST",245,3,50,194,718,780,1991
LDWP,"3/1/2019 4 a.m. PST",195,3,50,194,714,755,1912
LDWP,"3/1/2019 5 a.m. PST",154,3,50,195,712,851,1967
LDWP,"3/1/2019 6 a.m. PST",113,3,50,226,889,875,2157
LDWP,"3/1/2019 7 a.m. PST",63,22,272,231,1015,890,2492
LDWP,"3/1/2019 8 a.m. PST",46,127,355,230,1047,890,2696
LDWP,"3/1/2019 9 a.m. PST",43,549,125,243,974,886,2820
LDWP,"3/1/2019 10 a.m. PST",31,837,50,222,913,715,2767
LDWP,"3/1/2019 11 a.m. PST",21,699,50,219,906,642,2538
LDWP,"3/1/2019 12 p.m. PST",19,613,50,220,878,642,2422
LDWP,"3/1/2019 1 p.m. PST",36,596,50,221,877,642,2422
LDWP,"3/1/2019 2 p.m. PST",121,501,50,246,877,650,2444
LDWP,"3/1/2019 3 p.m. PST",231,379,50,221,877,781,2540
LDWP,"3/1/2019 4 p.m. PST",328,307,50,222,879,903,2689
LDWP,"3/1/2019 5 p.m. PST",346,67,50,255,1014,982,2714
LDWP,"3/1/2019 6 p.m. PST",332,9,50,267,1141,995,2794
LDWP,"3/1/2019 7 p.m. PST",318,3,50,266,1153,994,2784
LDWP,"3/1/2019 8 p.m. PST",302,3,50,267,1154,1013,2789
LDWP,"3/1/2019 9 p.m. PST",290,4,50,257,1154,1018,2772
LDWP,"3/1/2019 10 p.m. PST",218,4,50,242,1152,1013,2679
LDWP,"3/1/2019 11 p.m. PST",173,4,50,228,1150,1047,2651
LDWP,"3/2/2019 12 a.m. PST",150,4,50,228,1032,1066,2530
LDWP,"3/2/2019 1 a.m. PST",102,4,50,225,846,1097,2323
LDWP,"3/2/2019 2 a.m. PST",91,4,50,228,789,1100,2262
LDWP,"3/2/2019 3 a.m. PST",70,4,50,229,714,1098,2164
LDWP,"3/2/2019 4 a.m. PST",15,4,50,228,724,1094,2115
LDWP,"3/2/2019 5 a.m. PST",16,4,150,241,682,837,1931
LDWP,"3/2/2019 6 a.m. PST",0,4,380,255,812,638,2089
LDWP,"3/2/2019 7 a.m. PST",1,7,438,251,967,639,2304
LDWP,"3/2/2019 8 a.m. PST",1,77,299,246,1175,638,2437
LDWP,"3/2/2019 9 a.m. PST",2,528,53,218,926,642,2369
LDWP,"3/2/2019 10 a.m. PST",8,734,45,206,899,653,2546
LDWP,"3/2/2019 11 a.m. PST",21,920,45,200,697,648,2531
LDWP,"3/2/2019 12 p.m. PST",15,942,45,201,727,643,2573
LDWP,"3/2/2019 1 p.m. PST",9,1003,50,196,695,643,2595
LDWP,"3/2/2019 2 p.m. PST",24,934,50,194,665,643,2511
LDWP,"3/2/2019 3 p.m. PST",29,865,50,194,686,642,2467
LDWP,"3/2/2019 4 p.m. PST",31,737,50,195,727,642,2383
LDWP,"3/2/2019 5 p.m. PST",33,369,51,231,985,648,2318
LDWP,"3/2/2019 6 p.m. PST",74,30,54,255,1177,652,2243
LDWP,"3/2/2019 7 p.m. PST",85,4,54,253,1281,662,2339
LDWP,"3/2/2019 8 p.m. PST",64,4,54,251,1195,975,2543
LDWP,"3/2/2019 9 p.m. PST",56,4,54,241,1144,1251,2750
LDWP,"3/2/2019 10 p.m. PST",65,4,53,241,1034,1255,2651
LDWP,"3/2/2019 11 p.m. PST",38,3,52,228,993,1251,2565
LDWP,"3/3/2019 12 a.m. PST",35,3,50,227,918,1253,2487
