"BA Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"11/1/2019 12 a.m. PDT",2341,0,22,124,265,1160,770
LDWP,"11/1/2019 1 a.m. PDT",1979,0,22,123,256,952,627
LDWP,"11/1/2019 2 a.m. PDT",1866,0,22,123,255,938,528
LDWP,"11/1/2019 3 a.m. PDT",1784,0,22,122,249,943,448
LDWP,"11/1/2019 4 a.m. PDT",1775,0,22,122,223,960,449
LDWP,"11/1/2019 5 a.m. PDT",1927,0,22,121,251,1085,449
LDWP,"11/1/2019 6 a.m. PDT",2107,0,22,121,254,1206,504
LDWP,"11/1/2019 7 a.m. PDT",2217,0,22,118,254,1095,728
LDWP,"11/1/2019 8 a.m. PDT",2396,0,97,111,254,1094,840
LDWP,"11/1/2019 9 a.m. PDT",2622,0,544,104,260,875,840
LDWP,"11/1/2019 10 a.m. PDT",2596,0,896,105,233,616,746
LDWP,"11/1/2019 11 a.m. PDT",2621,1,993,103,225,602,696
LDWP,"11/1/2019 12 p.m. PDT",2650,14,1012,101,225,602,696
LDWP,"11/1/2019 1 p.m. PDT",2652,32,998,99,225,602,696
LDWP,"11/1/2019 2 p.m. PDT",2651,44,988,98,225,598,697
LDWP,"11/1/2019 3 p.m. PDT",2729,52,944,100,225,674,734
LDWP,"11/1/2019 4 p.m. PDT",2821,53,824,100,238,814,792
LDWP,"11/1/2019 5 p.m. PDT",2869,48,471,100,270,1148,833
LDWP,"11/1/2019 6 p.m. PDT",2972,43,65,101,271,1617,876
LDWP,"11/1/2019 7 p.m. PDT",2989,20,3,101,269,1719,878
LDWP,"11/1/2019 8 p.m. PDT",2886,5,2,101,244,1654,880
LDWP,"11/1/2019 9 p.m. PDT",2842,5,3,102,267,1595,870
LDWP,"11/1/2019 10 p.m. PDT",2635,6,4,102,243,1414,866
LDWP,"11/1/2019 11 p.m. PDT",2457,12,3,102,240,1243,856
LDWP,"11/2/2019 12 a.m. PDT",2318,27,3,102,245,1092,848
