"BA Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"10/1/2019 12 a.m. PDT",2287,85,21,535,247,722,678
LDWP,"10/1/2019 1 a.m. PDT",1885,79,21,203,221,721,640
LDWP,"10/1/2019 2 a.m. PDT",1736,137,21,152,220,531,676
LDWP,"10/1/2019 3 a.m. PDT",1665,123,21,152,219,470,680
LDWP,"10/1/2019 4 a.m. PDT",1628,102,21,153,220,472,661
LDWP,"10/1/2019 5 a.m. PDT",1649,88,21,152,221,474,693
LDWP,"10/1/2019 6 a.m. PDT",1747,82,21,125,253,528,738
LDWP,"10/1/2019 7 a.m. PDT",2003,67,25,64,254,575,1019
LDWP,"10/1/2019 8 a.m. PDT",2207,52,247,68,253,573,1015
LDWP,"10/1/2019 9 a.m. PDT",2187,58,732,68,220,443,666
LDWP,"10/1/2019 10 a.m. PDT",2397,39,1003,62,217,432,644
LDWP,"10/1/2019 11 a.m. PDT",2480,34,1088,61,217,436,645
LDWP,"10/1/2019 12 p.m. PDT",2489,27,1090,67,217,444,644
LDWP,"10/1/2019 1 p.m. PDT",2484,32,1081,67,218,443,643
LDWP,"10/1/2019 2 p.m. PDT",2491,35,1081,63,218,452,643
LDWP,"10/1/2019 3 p.m. PDT",2580,57,1063,124,217,476,643
LDWP,"10/1/2019 4 p.m. PDT",2582,111,984,152,217,474,644
LDWP,"10/1/2019 5 p.m. PDT",2447,68,770,260,219,481,650
LDWP,"10/1/2019 6 p.m. PDT",2556,59,327,548,250,628,743
LDWP,"10/1/2019 7 p.m. PDT",2793,88,33,617,256,876,923
LDWP,"10/1/2019 8 p.m. PDT",2855,73,21,613,256,960,932
LDWP,"10/1/2019 9 p.m. PDT",2750,64,21,554,256,961,895
LDWP,"10/1/2019 10 p.m. PDT",2546,45,21,426,255,963,837
LDWP,"10/1/2019 11 p.m. PDT",2430,34,21,370,256,964,787
LDWP,"10/2/2019 12 a.m. PDT",2093,35,21,174,255,964,643
LDWP,"10/2/2019 1 a.m. PDT",1936,14,21,152,250,859,641
LDWP,"10/2/2019 2 a.m. PDT",1700,2,21,152,222,662,640
LDWP,"10/2/2019 3 a.m. PDT",1623,2,21,152,220,588,641
LDWP,"10/2/2019 4 a.m. PDT",1636,0,21,152,221,601,641
LDWP,"10/2/2019 5 a.m. PDT",1641,0,21,152,250,576,643
LDWP,"10/2/2019 6 a.m. PDT",1773,0,21,110,251,700,692
LDWP,"10/2/2019 7 a.m. PDT",2035,0,24,66,252,831,862
LDWP,"10/2/2019 8 a.m. PDT",1971,0,248,70,249,743,661
LDWP,"10/2/2019 9 a.m. PDT",2055,0,736,70,217,389,642
LDWP,"10/2/2019 10 a.m. PDT",2288,3,1003,69,215,355,643
LDWP,"10/2/2019 11 a.m. PDT",2403,10,1081,68,215,387,642
LDWP,"10/2/2019 12 p.m. PDT",2483,14,1080,69,215,462,643
LDWP,"10/2/2019 1 p.m. PDT",2457,12,1072,69,215,448,642
LDWP,"10/2/2019 2 p.m. PDT",2576,5,1077,68,215,569,642
LDWP,"10/2/2019 3 p.m. PDT",2631,3,1058,70,216,643,642
LDWP,"10/2/2019 4 p.m. PDT",2618,0,961,70,215,729,643
LDWP,"10/2/2019 5 p.m. PDT",2687,2,744,138,217,943,643
LDWP,"10/2/2019 6 p.m. PDT",2897,16,313,350,254,1124,840
LDWP,"10/2/2019 7 p.m. PDT",2867,42,30,387,238,1159,1011
LDWP,"10/2/2019 8 p.m. PDT",2816,49,21,385,254,1157,950
LDWP,"10/2/2019 9 p.m. PDT",2720,27,21,392,224,1158,898
LDWP,"10/2/2019 10 p.m. PDT",2711,6,21,547,253,1158,726
LDWP,"10/2/2019 11 p.m. PDT",2578,1,21,463,254,1160,679
LDWP,"10/3/2019 12 a.m. PDT",2142,0,21,153,251,1034,683
LDWP,"10/3/2019 1 a.m. PDT",1968,0,21,153,223,927,644
LDWP,"10/3/2019 2 a.m. PDT",1853,0,21,155,219,816,642
LDWP,"10/3/2019 3 a.m. PDT",1797,0,21,155,220,760,641
LDWP,"10/3/2019 4 a.m. PDT",1767,0,21,156,221,729,641
LDWP,"10/3/2019 5 a.m. PDT",1803,0,21,155,222,762,643
LDWP,"10/3/2019 6 a.m. PDT",1831,0,21,153,254,760,644
LDWP,"10/3/2019 7 a.m. PDT",2038,0,24,154,256,961,643
LDWP,"10/3/2019 8 a.m. PDT",2202,1,243,154,254,906,643
LDWP,"10/3/2019 9 a.m. PDT",2195,0,729,152,219,453,643
LDWP,"10/3/2019 10 a.m. PDT",2363,0,993,149,217,359,644
LDWP,"10/3/2019 11 a.m. PDT",2445,5,1070,149,217,359,644
LDWP,"10/3/2019 12 p.m. PDT",2510,65,1076,147,218,360,644
LDWP,"10/3/2019 1 p.m. PDT",2596,161,1065,149,218,359,645
LDWP,"10/3/2019 2 p.m. PDT",2628,189,1071,149,218,358,644
LDWP,"10/3/2019 3 p.m. PDT",2694,273,1039,150,215,374,644
LDWP,"10/3/2019 4 p.m. PDT",2717,298,945,152,215,465,642
LDWP,"10/3/2019 5 p.m. PDT",2814,323,723,153,218,754,642
LDWP,"10/3/2019 6 p.m. PDT",2759,327,287,290,256,957,642
LDWP,"10/3/2019 7 p.m. PDT",2914,270,29,373,257,1240,744
LDWP,"10/3/2019 8 p.m. PDT",2898,207,21,344,254,1262,811
LDWP,"10/3/2019 9 p.m. PDT",2750,209,21,354,254,1261,651
LDWP,"10/3/2019 10 p.m. PDT",2522,206,21,342,253,1058,643
LDWP,"10/3/2019 11 p.m. PDT",2312,184,21,256,250,959,642
LDWP,"10/4/2019 12 a.m. PDT",2043,157,21,151,219,855,640
LDWP,"10/4/2019 1 a.m. PDT",1979,155,21,150,220,793,641
LDWP,"10/4/2019 2 a.m. PDT",1738,157,21,149,218,552,642
LDWP,"10/4/2019 3 a.m. PDT",1597,145,21,150,219,421,643
LDWP,"10/4/2019 4 a.m. PDT",1614,105,21,150,219,475,644
LDWP,"10/4/2019 5 a.m. PDT",1652,120,21,150,218,476,668
LDWP,"10/4/2019 6 a.m. PDT",1819,142,21,150,254,477,776
LDWP,"10/4/2019 7 a.m. PDT",2216,182,24,151,256,560,1043
LDWP,"10/4/2019 8 a.m. PDT",2148,189,228,151,254,566,760
LDWP,"10/4/2019 9 a.m. PDT",2268,199,707,152,220,345,645
LDWP,"10/4/2019 10 a.m. PDT",2387,276,909,152,216,190,645
LDWP,"10/4/2019 11 a.m. PDT",2533,348,983,152,218,188,645
LDWP,"10/4/2019 12 p.m. PDT",2550,314,1034,152,218,188,645
LDWP,"10/4/2019 1 p.m. PDT",2583,279,1073,152,217,217,644
LDWP,"10/4/2019 2 p.m. PDT",2542,263,1060,151,217,208,642
LDWP,"10/4/2019 3 p.m. PDT",2476,140,1025,150,217,302,642
LDWP,"10/4/2019 4 p.m. PDT",2687,107,935,153,217,631,643
LDWP,"10/4/2019 5 p.m. PDT",2797,223,713,223,219,776,644
LDWP,"10/4/2019 6 p.m. PDT",2761,311,283,388,254,870,656
LDWP,"10/4/2019 7 p.m. PDT",2946,270,28,384,229,1061,974
LDWP,"10/4/2019 8 p.m. PDT",3086,282,21,372,253,1084,1075
LDWP,"10/4/2019 9 p.m. PDT",2850,283,21,352,254,1192,748
LDWP,"10/4/2019 10 p.m. PDT",2789,221,21,354,254,1296,643
LDWP,"10/4/2019 11 p.m. PDT",2505,91,21,204,254,1294,641
LDWP,"10/5/2019 12 a.m. PDT",2207,50,21,151,250,1096,639
LDWP,"10/5/2019 1 a.m. PDT",2042,51,21,152,251,926,641
LDWP,"10/5/2019 2 a.m. PDT",1950,68,21,152,250,818,642
LDWP,"10/5/2019 3 a.m. PDT",1891,62,21,152,221,792,645
LDWP,"10/5/2019 4 a.m. PDT",1854,23,21,152,221,794,645
LDWP,"10/5/2019 5 a.m. PDT",1880,17,21,151,249,796,645
LDWP,"10/5/2019 6 a.m. PDT",1876,15,21,151,251,793,645
LDWP,"10/5/2019 7 a.m. PDT",1875,10,23,151,254,793,645
LDWP,"10/5/2019 8 a.m. PDT",2027,1,227,151,249,755,644
LDWP,"10/5/2019 9 a.m. PDT",2110,0,706,151,219,390,644
LDWP,"10/5/2019 10 a.m. PDT",2316,0,969,151,217,335,644
LDWP,"10/5/2019 11 a.m. PDT",2362,1,1014,151,217,336,643
LDWP,"10/5/2019 12 p.m. PDT",2408,1,1056,151,218,339,643
LDWP,"10/5/2019 1 p.m. PDT",2406,0,1048,151,218,346,644
LDWP,"10/5/2019 2 p.m. PDT",2455,1,1051,151,217,390,644
LDWP,"10/5/2019 3 p.m. PDT",2562,1,1023,151,223,519,643
LDWP,"10/5/2019 4 p.m. PDT",2689,1,928,153,241,722,643
LDWP,"10/5/2019 5 p.m. PDT",2804,1,700,154,258,1003,688
LDWP,"10/5/2019 6 p.m. PDT",2951,11,264,190,300,1222,964
LDWP,"10/5/2019 7 p.m. PDT",3237,48,23,349,303,1399,1116
LDWP,"10/5/2019 8 p.m. PDT",3331,51,21,360,302,1544,1052
LDWP,"10/5/2019 9 p.m. PDT",2920,95,21,319,278,1264,943
LDWP,"10/5/2019 10 p.m. PDT",2649,71,21,153,253,1272,879
LDWP,"10/5/2019 11 p.m. PDT",2600,125,21,153,253,1268,781
LDWP,"10/6/2019 12 a.m. PDT",2294,110,21,150,252,1121,641
LDWP,"10/6/2019 1 a.m. PDT",1928,100,21,150,248,769,640
LDWP,"10/6/2019 2 a.m. PDT",1789,128,21,151,247,601,641
LDWP,"10/6/2019 3 a.m. PDT",1706,123,21,151,248,520,644
LDWP,"10/6/2019 4 a.m. PDT",1666,84,21,150,248,519,644
LDWP,"10/6/2019 5 a.m. PDT",1650,64,21,150,248,521,645
LDWP,"10/6/2019 6 a.m. PDT",1708,46,21,151,248,597,645
LDWP,"10/6/2019 7 a.m. PDT",1710,25,23,151,248,619,645
LDWP,"10/6/2019 8 a.m. PDT",1723,9,222,152,246,450,645
LDWP,"10/6/2019 9 a.m. PDT",1894,14,675,151,218,190,645
LDWP,"10/6/2019 10 a.m. PDT",2210,36,970,151,217,190,645
LDWP,"10/6/2019 11 a.m. PDT",2327,56,1056,150,217,204,643
LDWP,"10/6/2019 12 p.m. PDT",2386,65,1056,151,253,218,643
LDWP,"10/6/2019 1 p.m. PDT",2366,43,1049,151,267,212,644
LDWP,"10/6/2019 2 p.m. PDT",2409,36,1059,150,268,241,656
LDWP,"10/6/2019 3 p.m. PDT",2657,29,1033,150,268,460,717
LDWP,"10/6/2019 4 p.m. PDT",2838,26,932,154,268,659,799
LDWP,"10/6/2019 5 p.m. PDT",2965,33,699,155,280,974,824
LDWP,"10/6/2019 6 p.m. PDT",3263,46,263,285,264,1265,1141
LDWP,"10/6/2019 7 p.m. PDT",3425,50,25,384,263,1523,1180
LDWP,"10/6/2019 8 p.m. PDT",3400,23,21,390,262,1545,1159
LDWP,"10/6/2019 9 p.m. PDT",3090,6,21,404,262,1549,849
LDWP,"10/6/2019 10 p.m. PDT",2711,0,21,364,261,1420,645
LDWP,"10/6/2019 11 p.m. PDT",2460,0,21,203,252,1293,691
LDWP,"10/7/2019 12 a.m. PDT",2165,0,21,152,252,1090,650
LDWP,"10/7/2019 1 a.m. PDT",1917,0,21,152,251,853,641
LDWP,"10/7/2019 2 a.m. PDT",1853,0,21,152,251,786,643
LDWP,"10/7/2019 3 a.m. PDT",1835,0,21,152,250,769,644
LDWP,"10/7/2019 4 a.m. PDT",1835,0,21,152,250,769,643
LDWP,"10/7/2019 5 a.m. PDT",1838,0,21,152,252,769,644
LDWP,"10/7/2019 6 a.m. PDT",1855,0,21,152,255,779,648
LDWP,"10/7/2019 7 a.m. PDT",2312,0,23,152,254,960,923
LDWP,"10/7/2019 8 a.m. PDT",2478,0,217,151,252,964,894
LDWP,"10/7/2019 9 a.m. PDT",2376,0,692,147,219,670,649
LDWP,"10/7/2019 10 a.m. PDT",2563,0,960,146,217,595,645
LDWP,"10/7/2019 11 a.m. PDT",2779,0,1047,146,218,693,676
LDWP,"10/7/2019 12 p.m. PDT",2905,0,1056,146,217,769,717
LDWP,"10/7/2019 1 p.m. PDT",3033,1,1043,147,217,945,680
LDWP,"10/7/2019 2 p.m. PDT",3266,6,1048,147,231,939,895
LDWP,"10/7/2019 3 p.m. PDT",3464,12,984,148,264,948,1107
LDWP,"10/7/2019 4 p.m. PDT",3613,34,881,148,303,951,1296
