,resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,lceo_type
0,gas_harbor,,,,,,,,,,,no_cobenefits
1,gas_ct,182.82408547686364,179.35840137662242,174.79320676655124,170.9052188967752,167.71249665827713,165.56032994844117,163.04271926249206,160.085301279345,156.76369820558998,153.0079752397579,no_cobenefits
2,ci_shed_nonwatersystem,,,,,,,,,,,no_cobenefits
3,utility_solar_inbasin_rsCrsQ,28.375434175410874,26.49638061600755,24.702714572666334,22.991056091062642,21.358149675656975,19.80085985685922,18.316167058642925,16.901163428214275,15.553048928047057,14.269127497556866,no_cobenefits
4,utility_solar_outofbasin,31.190138230061322,29.229102999163324,27.355843100002037,25.566909030223517,23.858977771929673,22.22884829984242,20.673437391636323,19.189775401994268,17.775002300648996,16.426363781636418,no_cobenefits
5,commercial_solar,33.8121225266828,31.499392236639185,29.292700035122852,27.187830944341435,25.180725528746343,23.267474434128562,21.4443131500867,19.707616778885587,18.053895210309367,16.479788236673933,no_cobenefits
6,residential_solar,51.62236256883871,47.238476689533854,43.066169678198726,39.096835561839484,35.322190196239625,31.734259819411964,28.32536998462123,25.088134945360874,22.015447264419052,19.10046792179197,no_cobenefits
7,FCZ7.Commercial.College.Cooking,39.657696329222595,37.82166645720121,36.49969192020812,34.307498458509436,32.21204156843285,29.892065646102004,23.519259006589543,22.02114053607748,20.853475266600416,19.479675761564096,no_cobenefits
8,FCZ7.Commercial.College.Cooling,102.62869886279599,101.72808656421088,98.99892588020934,93.9020680394577,91.8281741553699,90.79840957778774,90.16617473760714,87.46421420129059,86.08528560885617,85.66899595024569,no_cobenefits
9,FCZ7.Commercial.College.DaylightingEff,68.50466960651984,68.27236878513541,67.13966911700703,66.11235892953617,51.91300119118758,51.65517722165789,50.70898033739484,49.68760882877106,48.50353333802397,38.634640546003766,no_cobenefits
10,FCZ7.Commercial.College.EconomizerEff,102.6286988587823,101.72808655795991,98.99892587249596,93.90206803874548,91.82817415002818,90.79840957745124,90.1661747326599,87.4642141954286,86.08528560842586,85.66899595778463,no_cobenefits
11,FCZ7.Commercial.College.Heating,149.4838513829042,143.26045196732443,138.07945671444097,131.29385029825295,124.9764794375615,119.10028801328593,107.0513327302655,104.20436324798008,101.43242113939174,98.73355101679991,no_cobenefits
12,FCZ7.Commercial.College.IndoorLightingEff,68.50466960480887,68.27236877995723,67.139669115551,66.11235892810484,51.91300119887171,51.655177226446206,50.70898034001793,49.68760883264128,48.50353333910757,38.634640547289806,no_cobenefits
13,FCZ7.Commercial.College.OfficeEquipment,28.96726028792438,28.379025918922114,28.54457757102318,27.71318210778949,26.906002046397568,26.12233208388113,20.829633104958972,20.222944762096084,19.633926953491343,18.82211537569595,no_cobenefits
14,FCZ7.Commercial.College.OutdoorLighting,101.47236720783148,98.51686136682667,95.64743822022008,92.86159050506802,90.15688398550294,87.530955325731,64.7941588103882,62.90695030134776,61.074709030434725,59.80677849428351,no_cobenefits
15,FCZ7.Commercial.College.Refrigeration,59.77522473295196,59.118320787807136,58.52755141681767,65.50892175498737,64.44125091150478,63.13939379772765,51.77522473377895,48.91363436906836,37.440180882914575,31.550656441687373,no_cobenefits
16,FCZ7.Commercial.College.Ventilation,13.682182894494957,13.283672713101899,12.896769624370773,12.521135557641529,12.156442288972356,11.802371154342094,11.458612771205916,11.124866768161082,10.800841522486488,10.486253905326688,no_cobenefits
