CO2,NOX,SO2,PM2.5,PM10,CH4,TOTAL/MWH
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
1,2,1.5,2,0,2,8.5
