resource,potential_type,la100_scenario,load_projection,coincident_type,region,cumulative?,units,2020,2025,2030,2035,2040,2045
res_shift_space_cooling,deployment,na,moderate,end_use,ladwp,cumulative,MW,75,225,362,467,480,477
ci_shift_space_cooling,deployment,na,moderate,end_use,ladwp,cumulative,MW,0,48,83,122,130,138
ci_shed_nonwatersystem,deployment,na,moderate,end_use,ladwp,cumulative,MW,33,102,170,178,180,190
ci_shed_nonwatersystem,deployment,na,moderate,system,ladwp,cumulative,MW,32,95,155,162,163,172
res_shift_space_cooling,deployment,na,moderate,na,ladwp,cumulative,GWh,0,10,49,80,102,121
ci_shift_space_cooling,deployment,na,moderate,na,ladwp,cumulative,GWh,0,53,91,135,146,156
solar_nonrooftop_utility_inbasin,deployment,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,,,,,,13.08
solar_rooftop_ci,deployment,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,18.22,19.03,21.28,27.21,33.54,35.03
solar_rooftop_residentialSF,deployment,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,4.81,9.37,27.47,43.19,56.01,61.06
solar_rooftop_residentialMF,deployment,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,0.27,3.11,13.25,22.83,32.92,39.07
storage_utility_4hr_rsCrsQrsHall,deployment,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,,,,,,9.29
storage_residentialSF_4hr_rsCrsQrsHall,deployment,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,0.16,1.35,8.63,17.22,26.04,30.25
storage_residentialMF_4hr_rsCrsQrsHall,deployment,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,0,0.74,4.83,10.07,17.02,22.17
storage_ci_4hr_rsCrsQrsHall,deployment,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,1.3,1.39,1.77,3.24,5.23,5.8
diesel_genset_replacement_storage_4hr,,,,,,,,,,,,,
utility_solar_outofbasin,,,,,,,,,,,,,
solar_rooftop_ci,economic,ltd_transmission,moderate,na,ladwp,cumulative,MW,2848,3070.5,3337.5,3560,3827,4005
solar_rooftop_residentialSF,economic,ltd_transmission,moderate,na,ladwp,cumulative,MW,2112,2277,2475,2640,2838,2970
solar_rooftop_residentialMF,economic,ltd_transmission,moderate,na,ladwp,cumulative,MW,1440,1552.5,1687.5,1800,1935,2025
solar_rooftop_ci,economic,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,263.7248,284.3283,309.0525,329.656,354.3802,370.863
solar_rooftop_residentialSF,economic,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,91.2384,98.3664,106.92,114.048,122.6016,128.304
solar_rooftop_residentialMF,economic,ltd_transmission,moderate,na,rsCrsQrsHall,cumulative,MW,71.5104,77.09715,83.80125,89.388,96.0921,100.5615
ci_shed_nonwatersystem,eligible,,moderate,system,ladwp,cumulative,MW,531,503,488,509,512,540
ci_shed_nonwatersystem,eligible,,moderate,system,rsCrsQrsHall,cumulative,MW,38.27979,36.26127,35.17992,36.69381,36.91008,38.9286
res_shift_space_cooling,eligible,,moderate,system,ladwp,cumulative,MW,1833,2047,1983,2081,2145,2200
ci_shift_space_cooling,eligible,,moderate,system,ladwp,cumulative,MW,1110,1102,1102,1137,1218,1291
utility_solar_outofbasin,economic,,,,,,,,,,,,
solar_nonrooftop_utility_inbasin,economic,,,,,,,,,,,,
diesel_genset_replacement_storage_4hr,economic,,,,,,,,,,,,
