resource,legacy,existing_mw,dispatchable,co2_short_tons_per_mwh,nox_lbs_per_mwh,so2_lbs_per_mwh,pm25_lbs_per_mwh
gas_harbor,y,452.00,y,0.64,0.40,0.01,0.03
gas_ct,n,0.00,y,0.56,1.43,0.09,0.03
ci_shed_nonwatersystem,n,0.00,y,0.00,0.00,0.00,0.00
utility_solar_inbasin_rsCrsQ,n,0.00,n,0.00,0.00,0.00,0.00
utility_solar_outofbasin,n,0.00,n,0.00,0.00,0.00,0.00
commercial_solar,n,0.00,n,0.00,0.00,0.00,0.00
residential_solar,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.Cooking,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.Cooling,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.DaylightingEff,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.EconomizerEff,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.Heating,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.IndoorLightingEff,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.OfficeEquipment,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.OutdoorLighting,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.Refrigeration,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.Ventilation,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Commercial.Office.WaterHeating,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Residential.SINGLEFAMILY.CoolingEff,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Residential.SINGLEFAMILY.Dryer,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Residential.SINGLEFAMILY.Heating,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Residential.SINGLEFAMILY.Refrigerator,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Residential.SINGLEFAMILY.ResLightingEff,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Residential.SINGLEFAMILY.Washer,n,0.00,n,0.00,0.00,0.00,0.00
FCZ7.Residential.SINGLEFAMILY.WaterHeating,n,0.00,n,0.00,0.00,0.00,0.00
