,resource,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Units
0,gas_harbor,253.12717931114713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
1,gas_ct,178.44356084222645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
2,ci_shed_nonwatersystem,2.3970349007003335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.002965099299665,MW
3,utility_solar_outofbasin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
4,solar_rooftop_ci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.34214637304586,MW
5,solar_rooftop_residentialSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
6,solar_rooftop_residentialMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
7,FCZ7.Commercial.College.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
8,FCZ7.Commercial.College.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
9,FCZ7.Commercial.College.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
10,FCZ7.Commercial.College.OfficeEquipment,0.00014867100000000001,0.0,0.005638478,0.0035911300000000005,0.0034915780000000004,0.0,0.005883284000000001,0.0007226869999999996,0.000458987000000001,0.00012091300000000027,MW
11,FCZ7.Commercial.College.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
12,FCZ7.Commercial.College.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
13,FCZ7.Commercial.College.Ventilation,0.005477856,0.004951194000000001,0.004466962999999999,0.014975215999999998,0.014397548999999997,0.013698446000000015,0.016689585999999985,0.01597972899999999,0.015568646999999991,0.015046188000000016,MW
14,FCZ7.Commercial.College.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
15,FCZ7.Commercial.Food.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
16,FCZ7.Commercial.Food.Heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
17,FCZ7.Commercial.Food.IndoorLightingEff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
18,FCZ7.Commercial.Food.OfficeEquipment,3.04e-05,0.0,0.001153204,0.000734469,0.0007141080000000002,0.0,0.001203266,0.00014780600000000054,9.387299999999953e-05,2.4730000000000585e-05,MW
19,FCZ7.Commercial.Food.OutdoorLighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
20,FCZ7.Commercial.Food.Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
21,FCZ7.Commercial.Food.Ventilation,0.0030323679999999997,0.002740823,0.00247277,0.008289805,0.007970026000000002,0.007583026999999996,0.009238825000000003,0.008845871999999994,0.00861831,0.008329092000000014,MW
22,FCZ7.Commercial.Food.WaterHeating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
23,FCZ7.Commercial.Health Care.Cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MW
