,Unnamed: 0,max_excess_energy (mwh),date,hour
0,0,198.049,2019-01-01,0
1,1,190.676,2019-01-01,1
2,2,184.398,2019-01-01,2
3,3,179.79899999999995,2019-01-01,3
4,4,179.06900000000002,2019-01-01,4
5,5,185.055,2019-01-01,5
6,6,181.25900000000001,2019-01-01,6
7,7,182.135,2019-01-01,7
8,8,178.11999999999995,2019-01-01,8
9,9,164.396,2019-01-01,9
10,10,157.315,2019-01-01,10
11,11,156.804,2019-01-01,11
12,12,154.97899999999996,2019-01-01,12
13,13,153.00799999999995,2019-01-01,13
14,14,165.70999999999995,2019-01-01,14
15,15,183.81400000000002,2019-01-01,15
16,16,195.64,2019-01-01,16
17,17,223.015,2019-01-01,17
18,18,231.41,2019-01-01,18
19,19,236.00900000000001,2019-01-01,19
20,20,238.126,2019-01-01,20
21,21,236.00900000000001,2019-01-01,21
22,22,225.351,2019-01-01,22
23,23,214.036,2019-01-01,23
24,24,179.872,2019-01-02,0
25,25,165.929,2019-01-02,1
26,26,157.899,2019-01-02,2
27,27,145.124,2019-01-02,3
28,28,149.43099999999995,2019-01-02,4
29,29,130.232,2019-01-02,5
30,30,148.701,2019-01-02,6
31,31,159.578,2019-01-02,7
32,32,184.90900000000002,2019-01-02,8
33,33,212.065,2019-01-02,9
34,34,212.941,2019-01-02,10
35,35,202.648,2019-01-02,11
36,36,198.122,2019-01-02,12
37,37,194.618,2019-01-02,13
38,38,195.713,2019-01-02,14
39,39,206.663,2019-01-02,15
40,40,221.993,2019-01-02,16
41,41,240.535,2019-01-02,17
42,42,240.316,2019-01-02,18
43,43,244.185,2019-01-02,19
44,44,243.528,2019-01-02,20
45,45,229.585,2019-01-02,21
46,46,226.15400000000002,2019-01-02,22
47,47,219.146,2019-01-02,23
48,48,201.334,2019-01-03,0
49,49,182.646,2019-01-03,1
50,50,175.12699999999995,2019-01-03,2
51,51,173.083,2019-01-03,3
52,52,182.208,2019-01-03,4
53,53,196.954,2019-01-03,5
54,54,199.87400000000002,2019-01-03,6
55,55,205.13,2019-01-03,7
56,56,219.949,2019-01-03,8
57,57,214.328,2019-01-03,9
