,Unnamed: 0,OPR_DT,OPR_HR,NODE,LMP_$/MWh
0,0,2019-01-01,1,HARBGN_7_UNITS-APND,43.9536
1,1,2019-01-01,2,HARBGN_7_UNITS-APND,42.48586
2,2,2019-01-01,3,HARBGN_7_UNITS-APND,41.26137
3,3,2019-01-01,4,HARBGN_7_UNITS-APND,40.31803
4,4,2019-01-01,5,HARBGN_7_UNITS-APND,41.30714
5,5,2019-01-01,6,HARBGN_7_UNITS-APND,44.63176
6,6,2019-01-01,7,HARBGN_7_UNITS-APND,45.05728
7,7,2019-01-01,8,HARBGN_7_UNITS-APND,42.35163
8,8,2019-01-01,9,HARBGN_7_UNITS-APND,36.25319
9,9,2019-01-01,10,HARBGN_7_UNITS-APND,28.89702
10,10,2019-01-01,11,HARBGN_7_UNITS-APND,22.40166
11,11,2019-01-01,12,HARBGN_7_UNITS-APND,18.60403
12,12,2019-01-01,13,HARBGN_7_UNITS-APND,15.74141
13,13,2019-01-01,14,HARBGN_7_UNITS-APND,14.55681
14,14,2019-01-01,15,HARBGN_7_UNITS-APND,21.48436
15,15,2019-01-01,16,HARBGN_7_UNITS-APND,37.13308
16,16,2019-01-01,17,HARBGN_7_UNITS-APND,46.85562
17,17,2019-01-01,18,HARBGN_7_UNITS-APND,57.47243
18,18,2019-01-01,19,HARBGN_7_UNITS-APND,67.70517
19,19,2019-01-01,20,HARBGN_7_UNITS-APND,63.42925
20,20,2019-01-01,21,HARBGN_7_UNITS-APND,57.220180000000006
21,21,2019-01-01,22,HARBGN_7_UNITS-APND,54.03974
22,22,2019-01-01,23,HARBGN_7_UNITS-APND,50.37982
23,23,2019-01-01,24,HARBGN_7_UNITS-APND,47.7768
24,24,2019-01-02,1,HARBGN_7_UNITS-APND,46.12043
25,25,2019-01-02,2,HARBGN_7_UNITS-APND,44.87182
26,26,2019-01-02,3,HARBGN_7_UNITS-APND,44.68627
27,27,2019-01-02,4,HARBGN_7_UNITS-APND,44.49583
28,28,2019-01-02,5,HARBGN_7_UNITS-APND,45.72298
29,29,2019-01-02,6,HARBGN_7_UNITS-APND,47.91204000000001
30,30,2019-01-02,7,HARBGN_7_UNITS-APND,62.73648000000001
31,31,2019-01-02,8,HARBGN_7_UNITS-APND,59.49113000000001
32,32,2019-01-02,9,HARBGN_7_UNITS-APND,45.02512
33,33,2019-01-02,10,HARBGN_7_UNITS-APND,39.89119
34,34,2019-01-02,11,HARBGN_7_UNITS-APND,37.03296
35,35,2019-01-02,12,HARBGN_7_UNITS-APND,34.89008
36,36,2019-01-02,13,HARBGN_7_UNITS-APND,31.85583
37,37,2019-01-02,14,HARBGN_7_UNITS-APND,31.77644
38,38,2019-01-02,15,HARBGN_7_UNITS-APND,34.74968
39,39,2019-01-02,16,HARBGN_7_UNITS-APND,43.66649
40,40,2019-01-02,17,HARBGN_7_UNITS-APND,54.90732
41,41,2019-01-02,18,HARBGN_7_UNITS-APND,79.34319
42,42,2019-01-02,19,HARBGN_7_UNITS-APND,80.71694000000002
43,43,2019-01-02,20,HARBGN_7_UNITS-APND,68.80674
44,44,2019-01-02,21,HARBGN_7_UNITS-APND,63.68727
45,45,2019-01-02,22,HARBGN_7_UNITS-APND,57.96501
46,46,2019-01-02,23,HARBGN_7_UNITS-APND,49.95468
47,47,2019-01-02,24,HARBGN_7_UNITS-APND,45.46188
48,48,2019-01-03,1,HARBGN_7_UNITS-APND,43.44158
49,49,2019-01-03,2,HARBGN_7_UNITS-APND,41.92294
50,50,2019-01-03,3,HARBGN_7_UNITS-APND,43.00909
51,51,2019-01-03,4,HARBGN_7_UNITS-APND,41.95303
52,52,2019-01-03,5,HARBGN_7_UNITS-APND,43.92996
53,53,2019-01-03,6,HARBGN_7_UNITS-APND,47.22287
54,54,2019-01-03,7,HARBGN_7_UNITS-APND,61.64753
55,55,2019-01-03,8,HARBGN_7_UNITS-APND,54.8677
56,56,2019-01-03,9,HARBGN_7_UNITS-APND,43.9282
57,57,2019-01-03,10,HARBGN_7_UNITS-APND,37.15415
58,58,2019-01-03,11,HARBGN_7_UNITS-APND,34.47599
59,59,2019-01-03,12,HARBGN_7_UNITS-APND,32.35564
