,storage_utility_2hr_CHARGE,storage_utility_4hr_CHARGE,storage_utility_6hr_CHARGE,storage_residentialSF_4hr_CHARGE,storage_residentialMF_4hr_CHARGE,storage_ci_4hr_CHARGE,diesel_genset_replacement_storage_4hr_CHARGE,storage_utility_2hr_DISCHARGE,storage_utility_4hr_DISCHARGE,storage_utility_6hr_DISCHARGE,storage_residentialSF_4hr_DISCHARGE,storage_residentialMF_4hr_DISCHARGE,storage_ci_4hr_DISCHARGE,diesel_genset_replacement_storage_4hr_DISCHARGE,storage_utility_2hr_STATE_OF_CHARGE,storage_utility_4hr_STATE_OF_CHARGE,storage_utility_6hr_STATE_OF_CHARGE,storage_residentialSF_4hr_STATE_OF_CHARGE,storage_residentialMF_4hr_STATE_OF_CHARGE,storage_ci_4hr_STATE_OF_CHARGE,diesel_genset_replacement_storage_4hr_STATE_OF_CHARGE
0,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
1,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
2,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
3,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
4,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
5,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
6,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
7,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
8,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
9,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
10,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
11,-0.0,0,0,0,0,-0.0,-0.22095894679931405,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.22095894679931405
12,-0.0,0,0,0,0,-0.0,-9.279183196737456,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,9.50014214353677
13,-0.0,0,0,0,0,-0.0,-9.279183196737456,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,18.779325340274227
14,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,18.779325340274227
15,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,18.779325340274227
16,-0.0,0,0,0,0,-0.0,-9.058224249938142,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
17,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
18,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
19,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
20,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
21,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
22,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
23,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
24,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
25,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
26,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
27,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
28,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
29,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
30,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
31,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
32,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
33,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
34,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
35,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
36,-0.0,0,0,0,0,-0.0,-0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,27.83754959021237
