,date,hour,moer (lbs CO2/MWh),version
0,2019-01-01,0,0,3
1,2019-01-01,1,0,3
2,2019-01-01,2,0,3
3,2019-01-01,3,0,3
4,2019-01-01,4,0,3
5,2019-01-01,5,0,3
6,2019-01-01,6,0,3
7,2019-01-01,7,0,3
8,2019-01-01,8,0,3
9,2019-01-01,9,0,3
10,2019-01-01,10,0,3
11,2019-01-01,11,0,3
12,2019-01-01,12,0,3
13,2019-01-01,13,0,3
14,2019-01-01,14,0,3
15,2019-01-01,15,0,3
16,2019-01-01,16,0,3
17,2019-01-01,17,0,3
18,2019-01-01,18,0,3
19,2019-01-01,19,0,3
20,2019-01-01,20,0,3
21,2019-01-01,21,0,3
22,2019-01-01,22,0,3
23,2019-01-01,23,0,3
24,2019-01-02,0,0,3
25,2019-01-02,1,0,3
26,2019-01-02,2,0,3
27,2019-01-02,3,0,3
28,2019-01-02,4,0,3
29,2019-01-02,5,0,3
30,2019-01-02,6,0,3
31,2019-01-02,7,0,3
32,2019-01-02,8,0,3
33,2019-01-02,9,0,3
34,2019-01-02,10,0,3
35,2019-01-02,11,0,3
36,2019-01-02,12,0,3
37,2019-01-02,13,0,3
38,2019-01-02,14,0,3
39,2019-01-02,15,0,3
40,2019-01-02,16,0,3
41,2019-01-02,17,0,3
42,2019-01-02,18,0,3
43,2019-01-02,19,0,3
44,2019-01-02,20,0,3
45,2019-01-02,21,0,3
46,2019-01-02,22,0,3
47,2019-01-02,23,0,3
48,2019-01-03,0,0,3
49,2019-01-03,1,0,3
50,2019-01-03,2,0,3
51,2019-01-03,3,0,3
52,2019-01-03,4,0,3
53,2019-01-03,5,0,3
54,2019-01-03,6,0,3
55,2019-01-03,7,0,3
56,2019-01-03,8,0,3
57,2019-01-03,9,0,3
58,2019-01-03,10,0,3
59,2019-01-03,11,0,3
60,2019-01-03,12,0,3
61,2019-01-03,13,0,3
62,2019-01-03,14,0,3
63,2019-01-03,15,0,3
64,2019-01-03,16,0,3
65,2019-01-03,17,0,3
66,2019-01-03,18,0,3
67,2019-01-03,19,0,3
68,2019-01-03,20,0,3
69,2019-01-03,21,0,3
70,2019-01-03,22,0,3
71,2019-01-03,23,0,3
72,2019-01-04,0,0,3
73,2019-01-04,1,0,3
74,2019-01-04,2,0,3
75,2019-01-04,3,0,3
76,2019-01-04,4,0,3
77,2019-01-04,5,0,3
78,2019-01-04,6,0,3
79,2019-01-04,7,0,3
80,2019-01-04,8,0,3
81,2019-01-04,9,0,3
82,2019-01-04,10,0,3
83,2019-01-04,11,0,3
84,2019-01-04,12,0,3
85,2019-01-04,13,0,3
86,2019-01-04,14,0,3
87,2019-01-04,15,0,3
88,2019-01-04,16,0,3
89,2019-01-04,17,0,3
90,2019-01-04,18,0,3
91,2019-01-04,19,0,3
92,2019-01-04,20,0,3
93,2019-01-04,21,0,3
94,2019-01-04,22,0,3
95,2019-01-04,23,0,3
96,2019-01-05,0,0,3
97,2019-01-05,1,0,3
98,2019-01-05,2,0,3
99,2019-01-05,3,0,3
100,2019-01-05,4,0,3
101,2019-01-05,5,0,3
102,2019-01-05,6,0,3
103,2019-01-05,7,0,3
104,2019-01-05,8,0,3
105,2019-01-05,9,0,3
106,2019-01-05,10,0,3
107,2019-01-05,11,0,3
108,2019-01-05,12,0,3
109,2019-01-05,13,0,3
110,2019-01-05,14,0,3
111,2019-01-05,15,0,3
112,2019-01-05,16,0,3
113,2019-01-05,17,0,3
114,2019-01-05,18,0,3
115,2019-01-05,19,0,3
116,2019-01-05,20,0,3
117,2019-01-05,21,0,3
118,2019-01-05,22,0,3
119,2019-01-05,23,0,3
120,2019-01-06,0,0,3
121,2019-01-06,1,0,3
122,2019-01-06,2,0,3
123,2019-01-06,3,0,3
124,2019-01-06,4,0,3
125,2019-01-06,5,0,3
126,2019-01-06,6,0,3
127,2019-01-06,7,0,3
128,2019-01-06,8,0,3
129,2019-01-06,9,0,3
130,2019-01-06,10,0,3
131,2019-01-06,11,0,3
132,2019-01-06,12,0,3
133,2019-01-06,13,0,3
