,resource,2020,2021,2022,Units
0,gas_harbor,0.3313142429872187,0.0,0.0,MW
1,gas_ct,376.6427493183622,0.0,0.0,MW
2,ci_shed_nonwatersystem,37.472382,0.0,0.0,MW
3,utility_solar_inbasin_rsCrsQ,262.11134326649517,4.003963890021361,54.7982912776472,MW
4,utility_solar_outofbasin,0.0,0.0,0.0,MW
5,solar_rooftop_ci,0.0,0.0,0.0,MW
6,solar_rooftop_residentialSF,0.0,0.0,0.0,MW
7,solar_rooftop_residentialMF,0.0,0.0,0.0,MW
8,FCZ7.Commercial.College.Cooling,0.0,0.0,0.0,MW
9,FCZ7.Commercial.College.Heating,0.0,0.0,0.0,MW
10,FCZ7.Commercial.College.IndoorLightingEff,0.0,0.0,0.0,MW
11,FCZ7.Commercial.College.OfficeEquipment,0.00014867100000000001,0.0,0.005638478,MW
12,FCZ7.Commercial.College.OutdoorLighting,0.0,0.0,0.0,MW
13,FCZ7.Commercial.College.Refrigeration,0.006353241999999999,0.0035054060000000017,0.0035819649999999995,MW
14,FCZ7.Commercial.College.Ventilation,0.005477856,0.004951194000000001,0.004466962999999999,MW
15,FCZ7.Commercial.College.WaterHeating,0.0,0.0,0.0,MW
16,FCZ7.Commercial.Food.Cooling,0.0,0.0,0.0,MW
17,FCZ7.Commercial.Food.Heating,0.0,0.0,0.0,MW
18,FCZ7.Commercial.Food.IndoorLightingEff,0.0,0.0,0.0,MW
19,FCZ7.Commercial.Food.OfficeEquipment,3.04e-05,0.0,0.001153204,MW
20,FCZ7.Commercial.Food.OutdoorLighting,0.0,0.0,0.0,MW
21,FCZ7.Commercial.Food.Refrigeration,0.12512657300000002,0.06903865499999998,0.07054649800000004,MW
22,FCZ7.Commercial.Food.Ventilation,0.0030323679999999997,0.002740823,0.00247277,MW
23,FCZ7.Commercial.Food.WaterHeating,0.0,0.0,0.0,MW
24,FCZ7.Commercial.Health Care.Cooling,0.0,0.0,0.0,MW
25,FCZ7.Commercial.Health Care.Heating,0.0,0.0,0.0,MW
26,FCZ7.Commercial.Health Care.IndoorLightingEff,0.0,0.0,0.0,MW
27,FCZ7.Commercial.Health Care.OfficeEquipment,0.000739223,0.0,0.028035617,MW
28,FCZ7.Commercial.Health Care.OutdoorLighting,0.0,0.0,0.0,MW
29,FCZ7.Commercial.Health Care.Refrigeration,0.00347857,0.0019193030000000002,0.0019612220000000003,MW
30,FCZ7.Commercial.Health Care.Ventilation,0.004168725,0.003767926999999999,0.003399422000000001,MW
31,FCZ7.Commercial.Health Care.WaterHeating,0.0,0.0,0.0,MW
32,FCZ7.Commercial.Hotel.Cooking,0.000270781,0.00014953900000000002,0.00013157400000000002,MW
33,FCZ7.Commercial.Hotel.Cooling,0.0,0.0,0.0,MW
34,FCZ7.Commercial.Hotel.Heating,0.0,0.0,0.0,MW
35,FCZ7.Commercial.Hotel.IndoorLightingEff,0.0,0.0,0.0,MW
