resource,Unnamed: 0,legacy,existing_mw,dispatchable,co2_short_tons_per_mwh,nox_lbs_per_mwh,so2_lbs_per_mwh,pm25_lbs_per_mwh
gas_harbor,0,y,452.0,y,0.64,0.4,0.01,0.03
gas_ct,1,n,0.0,y,0.56,1.43,0.09,0.03
ci_shed_nonwatersystem,2,n,0.0,y,0.0,0.0,0.0,0.0
utility_solar_inbasin_rsCrsQ,3,n,0.0,n,0.0,0.0,0.0,0.0
utility_solar_outofbasin,4,n,0.0,n,0.0,0.0,0.0,0.0
commercial_solar,5,n,0.0,n,0.0,0.0,0.0,0.0
residential_solar,6,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.College.Cooling,8,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.College.Heating,11,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.College.IndoorLightingEff,12,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.College.OfficeEquipment,13,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.College.OutdoorLighting,14,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.College.Refrigeration,15,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.College.Ventilation,16,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.College.WaterHeating,17,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Food.Cooling,19,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Food.Heating,22,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Food.IndoorLightingEff,23,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Food.OfficeEquipment,24,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Food.OutdoorLighting,25,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Food.Refrigeration,26,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Food.Ventilation,27,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Food.WaterHeating,28,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Health Care.Cooling,30,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Health Care.Heating,33,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Health Care.IndoorLightingEff,34,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Health Care.OfficeEquipment,35,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Health Care.OutdoorLighting,36,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Health Care.Refrigeration,37,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Health Care.Ventilation,38,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Health Care.WaterHeating,39,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Hotel.Cooking,40,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Hotel.Cooling,41,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Hotel.Heating,44,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Hotel.IndoorLightingEff,45,n,0.0,n,0.0,0.0,0.0,0.0
FCZ7.Commercial.Hotel.OfficeEquipment,46,n,0.0,n,0.0,0.0,0.0,0.0
