,resource,2020,Units
0,gas_harbor,0.0,MW
1,gas_ct,1.0,MW
2,ci_shed_nonwatersystem,52.05553049151001,MW
3,utility_solar_inbasin_rsCrsQ,1.0,MW
4,utility_solar_outofbasin,1.0,MW
5,commercial_solar,1.0,MW
6,residential_solar,1.0,MW
7,FCZ7.Commercial.College.Cooling,1.0,MW
8,FCZ7.Commercial.College.Heating,1.0,MW
9,FCZ7.Commercial.College.IndoorLightingEff,1.0,MW
10,FCZ7.Commercial.College.OfficeEquipment,1.0,MW
11,FCZ7.Commercial.College.OutdoorLighting,1.0,MW
12,FCZ7.Commercial.College.Refrigeration,1.0,MW
13,FCZ7.Commercial.College.Ventilation,1.0,MW
14,FCZ7.Commercial.College.WaterHeating,1.0,MW
15,FCZ7.Commercial.Food.Cooling,1.0,MW
16,FCZ7.Commercial.Food.Heating,1.0,MW
17,FCZ7.Commercial.Food.IndoorLightingEff,1.0,MW
18,FCZ7.Commercial.Food.OfficeEquipment,1.0,MW
19,FCZ7.Commercial.Food.OutdoorLighting,1.0,MW
20,FCZ7.Commercial.Food.Refrigeration,1.0,MW
21,FCZ7.Commercial.Food.Ventilation,97.46453809117268,MW
22,FCZ7.Commercial.Food.WaterHeating,1.0,MW
23,FCZ7.Commercial.Health Care.Cooling,1.0,MW
24,FCZ7.Commercial.Health Care.Heating,1.0,MW
25,FCZ7.Commercial.Health Care.IndoorLightingEff,1.0,MW
26,FCZ7.Commercial.Health Care.OfficeEquipment,1.0,MW
27,FCZ7.Commercial.Health Care.OutdoorLighting,1.0,MW
28,FCZ7.Commercial.Health Care.Refrigeration,1.0,MW
29,FCZ7.Commercial.Health Care.Ventilation,328.02472809081166,MW
30,FCZ7.Commercial.Health Care.WaterHeating,1.0,MW
31,FCZ7.Commercial.Hotel.Cooking,1.0,MW
32,FCZ7.Commercial.Hotel.Cooling,1.0,MW
33,FCZ7.Commercial.Hotel.Heating,1.0,MW
34,FCZ7.Commercial.Hotel.IndoorLightingEff,1.0,MW
35,FCZ7.Commercial.Hotel.OfficeEquipment,1.0,MW
36,FCZ7.Commercial.Hotel.OutdoorLighting,1.0,MW
37,FCZ7.Commercial.Hotel.Refrigeration,1.0,MW
38,FCZ7.Commercial.Hotel.Ventilation,1.0,MW
39,FCZ7.Commercial.Hotel.WaterHeating,1.0,MW
40,FCZ7.Commercial.Miscellaneous.Cooking,1.0,MW
41,FCZ7.Commercial.Miscellaneous.Cooling,1.0,MW
42,FCZ7.Commercial.Miscellaneous.Heating,1.0,MW
43,FCZ7.Commercial.Miscellaneous.IndoorLightingEff,1.0,MW
44,FCZ7.Commercial.Miscellaneous.OfficeEquipment,1.0,MW
45,FCZ7.Commercial.Miscellaneous.OutdoorLighting,1.0,MW
46,FCZ7.Commercial.Miscellaneous.Refrigeration,1.0,MW
47,FCZ7.Commercial.Miscellaneous.Ventilation,1.0,MW
48,FCZ7.Commercial.Miscellaneous.WaterHeating,1.0,MW
49,FCZ7.Commercial.Office.Cooling,1.0,MW
50,FCZ7.Commercial.Office.Heating,1.0,MW
51,FCZ7.Commercial.Office.IndoorLightingEff,1.0,MW
52,FCZ7.Commercial.Office.OfficeEquipment,1.0,MW
53,FCZ7.Commercial.Office.OutdoorLighting,1.0,MW
54,FCZ7.Commercial.Office.Refrigeration,1.0,MW
55,FCZ7.Commercial.Office.Ventilation,1.0,MW
56,FCZ7.Commercial.Office.WaterHeating,1.0,MW
57,FCZ7.Commercial.Refrigerated Warehouse.Cooling,1.0,MW
58,FCZ7.Commercial.Refrigerated Warehouse.Heating,1.0,MW
59,FCZ7.Commercial.Refrigerated Warehouse.IndoorLightingEff,1.0,MW
60,FCZ7.Commercial.Refrigerated Warehouse.OfficeEquipment,1.0,MW
