,state,facility_name,facility_id,year,date,hour,load_mw,so2_lb,nox_lb,co2_short_tons,heat_input_mmbtu
1000,CA,Harbor Generating Station,399,2019,2/11/19,16,0.0,0.0,0.0,0.0,0.0
1001,CA,Harbor Generating Station,399,2019,2/11/19,17,0.0,0.0,0.0,0.0,0.0
1002,CA,Harbor Generating Station,399,2019,2/11/19,18,0.0,0.0,0.0,0.0,0.0
1003,CA,Harbor Generating Station,399,2019,2/11/19,19,0.0,0.0,0.0,0.0,0.0
1004,CA,Harbor Generating Station,399,2019,2/11/19,20,0.0,0.0,0.0,0.0,0.0
1005,CA,Harbor Generating Station,399,2019,2/11/19,21,0.0,0.0,0.0,0.0,0.0
1006,CA,Harbor Generating Station,399,2019,2/11/19,22,0.0,0.0,0.0,0.0,0.0
1007,CA,Harbor Generating Station,399,2019,2/11/19,23,0.0,0.0,0.0,0.0,0.0
1008,CA,Harbor Generating Station,399,2019,2/12/19,0,0.0,0.0,0.0,0.0,0.0
1009,CA,Harbor Generating Station,399,2019,2/12/19,1,0.0,0.0,0.0,0.0,0.0
1010,CA,Harbor Generating Station,399,2019,2/12/19,2,0.0,0.0,0.0,0.0,0.0
1011,CA,Harbor Generating Station,399,2019,2/12/19,3,0.0,0.0,0.0,0.0,0.0
1012,CA,Harbor Generating Station,399,2019,2/12/19,4,0.0,0.0,0.0,0.0,0.0
1013,CA,Harbor Generating Station,399,2019,2/12/19,5,0.0,0.0,0.0,0.0,0.0
1014,CA,Harbor Generating Station,399,2019,2/12/19,6,0.0,0.0,0.0,0.0,0.0
1015,CA,Harbor Generating Station,399,2019,2/12/19,7,0.0,0.0,0.0,0.0,0.0
1016,CA,Harbor Generating Station,399,2019,2/12/19,8,0.0,0.0,0.0,0.0,0.0
1017,CA,Harbor Generating Station,399,2019,2/12/19,9,0.0,0.0,0.0,0.0,0.0
1018,CA,Harbor Generating Station,399,2019,2/12/19,10,0.0,0.0,0.0,0.0,0.0
1019,CA,Harbor Generating Station,399,2019,2/12/19,11,0.0,0.0,0.0,0.0,0.0
1020,CA,Harbor Generating Station,399,2019,2/12/19,12,0.0,0.0,0.0,0.0,0.0
1021,CA,Harbor Generating Station,399,2019,2/12/19,13,0.0,0.0,0.0,0.0,0.0
1022,CA,Harbor Generating Station,399,2019,2/12/19,14,0.0,0.0,0.0,0.0,0.0
1023,CA,Harbor Generating Station,399,2019,2/12/19,15,0.0,0.0,0.0,0.0,0.0
1024,CA,Harbor Generating Station,399,2019,2/12/19,16,0.0,0.0,0.0,0.0,0.0
1025,CA,Harbor Generating Station,399,2019,2/12/19,17,0.0,0.0,0.0,0.0,0.0
1026,CA,Harbor Generating Station,399,2019,2/12/19,18,0.0,0.0,0.0,0.0,0.0
1027,CA,Harbor Generating Station,399,2019,2/12/19,19,0.0,0.0,0.0,0.0,0.0
1028,CA,Harbor Generating Station,399,2019,2/12/19,20,0.0,0.0,0.0,0.0,0.0
1029,CA,Harbor Generating Station,399,2019,2/12/19,21,0.0,0.0,0.0,0.0,0.0
1030,CA,Harbor Generating Station,399,2019,2/12/19,22,0.0,0.0,0.0,0.0,0.0
1031,CA,Harbor Generating Station,399,2019,2/12/19,23,0.0,0.0,0.0,0.0,0.0
1032,CA,Harbor Generating Station,399,2019,2/13/19,0,0.0,0.0,0.0,0.0,0.0
1033,CA,Harbor Generating Station,399,2019,2/13/19,1,0.0,0.0,0.0,0.0,0.0
1034,CA,Harbor Generating Station,399,2019,2/13/19,2,0.0,0.0,0.0,0.0,0.0
1035,CA,Harbor Generating Station,399,2019,2/13/19,3,0.0,0.0,0.0,0.0,0.0
1036,CA,Harbor Generating Station,399,2019,2/13/19,4,0.0,0.0,0.0,0.0,0.0
1037,CA,Harbor Generating Station,399,2019,2/13/19,5,0.0,0.0,0.0,0.0,0.0
1038,CA,Harbor Generating Station,399,2019,2/13/19,6,0.0,0.0,0.0,0.0,0.0
1039,CA,Harbor Generating Station,399,2019,2/13/19,7,0.0,0.0,0.0,0.0,0.0
1040,CA,Harbor Generating Station,399,2019,2/13/19,8,0.0,0.0,0.0,0.0,0.0
1041,CA,Harbor Generating Station,399,2019,2/13/19,9,0.0,0.0,0.0,0.0,0.0
1042,CA,Harbor Generating Station,399,2019,2/13/19,10,0.0,0.0,0.0,0.0,0.0
1043,CA,Harbor Generating Station,399,2019,2/13/19,11,0.0,0.0,0.0,0.0,0.0
1044,CA,Harbor Generating Station,399,2019,2/13/19,12,0.0,0.0,0.0,0.0,0.0
1045,CA,Harbor Generating Station,399,2019,2/13/19,13,0.0,0.0,0.0,0.0,0.0
1046,CA,Harbor Generating Station,399,2019,2/13/19,14,0.0,0.005,0.094,0.456,7.832000000000001
1047,CA,Harbor Generating Station,399,2019,2/13/19,15,0.0,0.027000000000000003,2.46,2.623,44.72
1048,CA,Harbor Generating Station,399,2019,2/13/19,16,0.0,0.0,0.0,0.0,0.0
1049,CA,Harbor Generating Station,399,2019,2/13/19,17,0.0,0.0,0.0,0.0,0.0
1050,CA,Harbor Generating Station,399,2019,2/13/19,18,0.0,0.0,0.0,0.0,0.0
1051,CA,Harbor Generating Station,399,2019,2/13/19,19,0.0,0.0,0.0,0.0,0.0
1052,CA,Harbor Generating Station,399,2019,2/13/19,20,0.0,0.0,0.0,0.0,0.0
1053,CA,Harbor Generating Station,399,2019,2/13/19,21,0.0,0.0,0.0,0.0,0.0
1054,CA,Harbor Generating Station,399,2019,2/13/19,22,0.0,0.0,0.0,0.0,0.0
1055,CA,Harbor Generating Station,399,2019,2/13/19,23,0.0,0.0,0.0,0.0,0.0
1056,CA,Harbor Generating Station,399,2019,2/14/19,0,0.0,0.0,0.0,0.0,0.0
1057,CA,Harbor Generating Station,399,2019,2/14/19,1,0.0,0.0,0.0,0.0,0.0
1058,CA,Harbor Generating Station,399,2019,2/14/19,2,0.0,0.0,0.0,0.0,0.0
1059,CA,Harbor Generating Station,399,2019,2/14/19,3,0.0,0.0,0.0,0.0,0.0
1060,CA,Harbor Generating Station,399,2019,2/14/19,4,0.0,0.0,0.0,0.0,0.0
1061,CA,Harbor Generating Station,399,2019,2/14/19,5,0.0,0.0,0.0,0.0,0.0
1062,CA,Harbor Generating Station,399,2019,2/14/19,6,0.0,0.0,0.0,0.0,0.0
1063,CA,Harbor Generating Station,399,2019,2/14/19,7,0.0,0.0,0.0,0.0,0.0
1064,CA,Harbor Generating Station,399,2019,2/14/19,8,0.0,0.0,0.0,0.0,0.0
1065,CA,Harbor Generating Station,399,2019,2/14/19,9,0.0,0.0,0.0,0.0,0.0
1066,CA,Harbor Generating Station,399,2019,2/14/19,10,5.0,0.037000000000000005,5.949,3.612,61.964
1067,CA,Harbor Generating Station,399,2019,2/14/19,11,47.0,0.27,14.384,26.2,449.5
1068,CA,Harbor Generating Station,399,2019,2/14/19,12,31.0,0.179,5.355,17.36,297.5
1069,CA,Harbor Generating Station,399,2019,2/14/19,13,0.0,0.0,0.0,0.0,0.0
